id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
07c0d72f,28,gluggi,window,window,0,P,No,More than 45 minutes
07c0d72f,30,þögn,silence,silence,0,P,No,More than 45 minutes
07c0d72f,3,gleði,joy,joy,0,P,No,More than 45 minutes
07c0d72f,2,eldur,fire,fire,0,P,No,More than 45 minutes
07c0d72f,4,draumur,dream,dream,0,P,No,More than 45 minutes
07c0d72f,26,borg,city,city,0,P,No,More than 45 minutes
07c0d72f,15,hlæja,laugh,none,0,P,No,More than 45 minutes
07c0d72f,18,hlaupa,run,run,0,P,No,More than 45 minutes
07c0d72f,5,hljóð,sound,sound,0,P,No,More than 45 minutes
07c0d72f,39,árangur,success,success,0,P,No,More than 45 minutes
07c0d72f,24,framkvæmt,implementation,implementation,0,P,No,More than 45 minutes
07c0d72f,37,fjöldi,number,number,0,P,No,More than 45 minutes
07c0d72f,32,safn,museum,museum,0,P,No,More than 45 minutes
07c0d72f,34,rödd,voice,voice,0,P,No,More than 45 minutes
07c0d72f,14,vinna,work,work,0,P,No,More than 45 minutes
07c0d72f,20,sjá,see,see,0,P,No,More than 45 minutes
07c0d72f,8,tungl,moon,moon,0,P,No,More than 45 minutes
07c0d72f,10,ást,love,love,0,P,No,More than 45 minutes
07c0d72f,36,hreyfa,move,move,0,P,No,More than 45 minutes
07c0d72f,25,forystumaður,leader,leader,0,P,No,More than 45 minutes
07c0d72f,16,gráta,cry,cry,1,N,No,More than 45 minutes
07c0d72f,1,fjall,mountain,mountain,1,N,No,More than 45 minutes
07c0d72f,21,heyra,hear,hear,1,N,No,More than 45 minutes
07c0d72f,35,sársauki,pain,pain,1,N,No,More than 45 minutes
07c0d72f,29,mynd,picture,picture,1,N,No,More than 45 minutes
07c0d72f,33,ferð,trip,none,1,N,No,More than 45 minutes
07c0d72f,40,skap,mood,mood,1,N,No,More than 45 minutes
07c0d72f,9,haf,sea,sea,1,N,No,More than 45 minutes
07c0d72f,13,synda,swim,swim,1,N,No,More than 45 minutes
07c0d72f,31,heppinn,lucky,none,1,N,No,More than 45 minutes
07c0d72f,19,ganga,walk,walk,1,N,No,More than 45 minutes
07c0d72f,22,hugsa,think,think,1,N,No,More than 45 minutes
07c0d72f,7,haust,autumn,autumn,1,N,No,More than 45 minutes
07c0d72f,23,vita,know,know,1,N,No,More than 45 minutes
07c0d72f,6,vor,spring,spring,1,N,No,More than 45 minutes
07c0d72f,11,friður,peace,peace,1,N,No,More than 45 minutes
07c0d72f,27,hurð,door,none,1,N,No,More than 45 minutes
07c0d72f,17,borða,eat,eat,1,N,No,More than 45 minutes
07c0d72f,12,reiði,anger,anger,1,N,No,More than 45 minutes
07c0d72f,38,verkefni,project,none,1,N,No,More than 45 minutes
