id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
13ee473d,22,hugsa,think,none,0,P,No,16-45 minutes
13ee473d,12,reiði,anger,none,0,P,No,16-45 minutes
13ee473d,20,sjá,see,none,0,P,No,16-45 minutes
13ee473d,31,heppinn,lucky,none,0,P,No,16-45 minutes
13ee473d,40,skap,mood,none,0,P,No,16-45 minutes
13ee473d,10,ást,love,none,0,P,No,16-45 minutes
13ee473d,27,hurð,door,none,0,P,No,16-45 minutes
13ee473d,8,tungl,moon,none,0,P,No,16-45 minutes
13ee473d,33,ferð,trip,none,0,P,No,16-45 minutes
13ee473d,26,borg,city,none,0,P,No,16-45 minutes
13ee473d,38,verkefni,project,none,0,P,No,16-45 minutes
13ee473d,32,safn,museum,none,0,P,No,16-45 minutes
13ee473d,34,rödd,voice,none,0,P,No,16-45 minutes
13ee473d,36,hreyfa,move,none,0,P,No,16-45 minutes
13ee473d,13,synda,swim,none,0,P,No,16-45 minutes
13ee473d,9,haf,sea,none,0,P,No,16-45 minutes
13ee473d,17,borða,eat,none,0,P,No,16-45 minutes
13ee473d,1,fjall,mountain,none,0,P,No,16-45 minutes
13ee473d,5,hljóð,sound,none,0,P,No,16-45 minutes
13ee473d,21,heyra,hear,none,0,P,No,16-45 minutes
13ee473d,16,gráta,cry,none,1,N,No,16-45 minutes
13ee473d,19,ganga,walk,none,1,N,No,16-45 minutes
13ee473d,6,vor,spring,none,1,N,No,16-45 minutes
13ee473d,37,fjöldi,number,none,1,N,No,16-45 minutes
13ee473d,3,gleði,joy,none,1,N,No,16-45 minutes
13ee473d,14,vinna,work,none,1,N,No,16-45 minutes
13ee473d,18,hlaupa,run,none,1,N,No,16-45 minutes
13ee473d,4,draumur,dream,none,1,N,No,16-45 minutes
13ee473d,7,haust,autumn,none,1,N,No,16-45 minutes
13ee473d,2,eldur,fire,none,1,N,No,16-45 minutes
13ee473d,39,árangur,success,none,1,N,No,16-45 minutes
13ee473d,23,vita,know,none,1,N,No,16-45 minutes
13ee473d,24,framkvæmt,implementation,none,1,N,No,16-45 minutes
13ee473d,35,sársauki,pain,none,1,N,No,16-45 minutes
13ee473d,28,gluggi,window,none,1,N,No,16-45 minutes
13ee473d,11,friður,peace,none,1,N,No,16-45 minutes
13ee473d,25,forystumaður,leader,none,1,N,No,16-45 minutes
13ee473d,29,mynd,picture,none,1,N,No,16-45 minutes
13ee473d,15,hlæja,laugh,none,1,N,No,16-45 minutes
13ee473d,30,þögn,silence,none,1,N,No,16-45 minutes
