id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
1c4deccf,17,borða,eat,roots,0,P,No,0-15 minutes
1c4deccf,18,hlaupa,run,help,0,P,No,0-15 minutes
1c4deccf,22,hugsa,think,eat,0,P,No,0-15 minutes
1c4deccf,39,árangur,success,run,0,P,No,0-15 minutes
1c4deccf,31,heppinn,lucky,floor,0,P,No,0-15 minutes
1c4deccf,32,safn,museum,tree,0,P,No,0-15 minutes
1c4deccf,28,gluggi,window,drink,0,P,No,0-15 minutes
1c4deccf,33,ferð,trip,earth,0,P,No,0-15 minutes
1c4deccf,16,gráta,cry,think,0,P,No,0-15 minutes
1c4deccf,21,heyra,hear,bridge,0,P,No,0-15 minutes
1c4deccf,34,rödd,voice,red,0,P,No,0-15 minutes
1c4deccf,35,sársauki,pain,pain,0,P,No,0-15 minutes
1c4deccf,38,verkefni,project,project,0,P,No,0-15 minutes
1c4deccf,9,haf,sea,eat,0,P,No,0-15 minutes
1c4deccf,2,eldur,fire,house,0,P,No,0-15 minutes
1c4deccf,5,hljóð,sound,hungry,0,P,No,0-15 minutes
1c4deccf,36,hreyfa,move,blood,0,P,No,0-15 minutes
1c4deccf,15,hlæja,laugh,grass,0,P,No,0-15 minutes
1c4deccf,14,vinna,work,pain,0,P,No,0-15 minutes
1c4deccf,27,hurð,door,eat,0,P,No,0-15 minutes
1c4deccf,6,vor,spring,spring,1,N,No,0-15 minutes
1c4deccf,24,framkvæmt,implementation,implementation,1,N,No,0-15 minutes
1c4deccf,26,borg,city,town,1,N,No,0-15 minutes
1c4deccf,4,draumur,dream,dream,1,N,No,0-15 minutes
1c4deccf,37,fjöldi,number,fjord,1,N,No,0-15 minutes
1c4deccf,11,friður,peace,friday,1,N,No,0-15 minutes
1c4deccf,10,ást,love,angst,1,N,No,0-15 minutes
1c4deccf,19,ganga,walk,walk,1,N,No,0-15 minutes
1c4deccf,20,sjá,see,see,1,N,No,0-15 minutes
1c4deccf,7,haust,autumn,anger,1,N,No,0-15 minutes
1c4deccf,40,skap,mood,sharp,1,N,No,0-15 minutes
1c4deccf,8,tungl,moon,tragedy,1,N,No,0-15 minutes
1c4deccf,29,mynd,picture,mind,1,N,No,0-15 minutes
1c4deccf,25,forystumaður,leader,implementation,1,N,No,0-15 minutes
1c4deccf,1,fjall,mountain,mountain,1,N,No,0-15 minutes
1c4deccf,12,reiði,anger,rider,1,N,No,0-15 minutes
1c4deccf,23,vita,know,life,1,N,No,0-15 minutes
1c4deccf,3,gleði,joy,happy,1,N,No,0-15 minutes
1c4deccf,30,þögn,silence,tall,1,N,No,0-15 minutes
1c4deccf,13,synda,swim,sin,1,N,No,0-15 minutes
