id,word_id,ice,eng,answ_1,answ_2
1c75401d,1,Gluggi,Window,1,15
1c75401d,2,Stóll,Chair,2,8
1c75401d,3,Borð,Table,3,7
1c75401d,4,Fatnaður,Clothing,4,20
1c75401d,5,Skór,Shoes,5,2
1c75401d,6,Sokkar,Socks,6,12
1c75401d,7,Jakki,Jacket,7,6
1c75401d,8,Hattur,Hat,8,16
1c75401d,9,Mynd,Picture,9,1
1c75401d,10,Ljós,Light,10,10
1c75401d,11,Hár,Hair,11,19
1c75401d,12,Auga,Eye,12,11
1c75401d,13,Tennur,Teeth,13,4
1c75401d,14,Hjörtu,Hearts,14,9
1c75401d,15,Hönd,Hand,15,18
1c75401d,16,Fótur,Foot,16,3
1c75401d,17,Borg,City,17,5
1c75401d,18,Kirkja,Church,18,13
1c75401d,19,Bréf,Letter,19,14
1c75401d,20,Lykill,Key,20,17
