id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
1d0d2c65,18,hlaupa,run,none,0,N,No,More than 45 minutes
1d0d2c65,12,reiði,anger,none,0,N,No,More than 45 minutes
1d0d2c65,20,sjá,see,none,0,N,No,More than 45 minutes
1d0d2c65,8,tungl,moon,none,0,N,No,More than 45 minutes
1d0d2c65,1,fjall,mountain,none,0,N,No,More than 45 minutes
1d0d2c65,6,vor,spring,none,0,N,No,More than 45 minutes
1d0d2c65,7,haust,autumn,none,0,N,No,More than 45 minutes
1d0d2c65,36,hreyfa,move,none,0,N,No,More than 45 minutes
1d0d2c65,21,heyra,hear,none,0,N,No,More than 45 minutes
1d0d2c65,3,gleði,joy,none,0,N,No,More than 45 minutes
1d0d2c65,14,vinna,work,none,0,N,No,More than 45 minutes
1d0d2c65,34,rödd,voice,none,0,N,No,More than 45 minutes
1d0d2c65,27,hurð,door,none,0,N,No,More than 45 minutes
1d0d2c65,31,heppinn,lucky,none,0,N,No,More than 45 minutes
1d0d2c65,4,draumur,dream,none,0,N,No,More than 45 minutes
1d0d2c65,39,árangur,success,none,0,N,No,More than 45 minutes
1d0d2c65,32,safn,museum,none,0,N,No,More than 45 minutes
1d0d2c65,2,eldur,fire,none,0,N,No,More than 45 minutes
1d0d2c65,16,gráta,cry,none,0,N,No,More than 45 minutes
1d0d2c65,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
1d0d2c65,26,borg,city,none,1,P,No,More than 45 minutes
1d0d2c65,38,verkefni,project,none,1,P,No,More than 45 minutes
1d0d2c65,13,synda,swim,none,1,P,No,More than 45 minutes
1d0d2c65,17,borða,eat,none,1,P,No,More than 45 minutes
1d0d2c65,35,sársauki,pain,none,1,P,No,More than 45 minutes
1d0d2c65,30,þögn,silence,none,1,P,No,More than 45 minutes
1d0d2c65,29,mynd,picture,none,1,P,No,More than 45 minutes
1d0d2c65,11,friður,peace,none,1,P,No,More than 45 minutes
1d0d2c65,23,vita,know,none,1,P,No,More than 45 minutes
1d0d2c65,10,ást,love,none,1,P,No,More than 45 minutes
1d0d2c65,37,fjöldi,number,none,1,P,No,More than 45 minutes
1d0d2c65,25,forystumaður,leader,none,1,P,No,More than 45 minutes
1d0d2c65,22,hugsa,think,none,1,P,No,More than 45 minutes
1d0d2c65,19,ganga,walk,none,1,P,No,More than 45 minutes
1d0d2c65,28,gluggi,window,none,1,P,No,More than 45 minutes
1d0d2c65,33,ferð,trip,none,1,P,No,More than 45 minutes
1d0d2c65,5,hljóð,sound,none,1,P,No,More than 45 minutes
1d0d2c65,9,haf,sea,none,1,P,No,More than 45 minutes
1d0d2c65,15,hlæja,laugh,none,1,P,No,More than 45 minutes
1d0d2c65,40,skap,mood,none,1,P,No,More than 45 minutes
