id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
24e4726c,30,þögn,silence,,0,N,No,More than 45 minutes
24e4726c,10,ást,love,,0,N,No,More than 45 minutes
24e4726c,16,gráta,cry,,0,N,No,More than 45 minutes
24e4726c,3,gleði,joy,,0,N,No,More than 45 minutes
24e4726c,29,mynd,picture,,0,N,No,More than 45 minutes
24e4726c,19,ganga,walk,,0,N,No,More than 45 minutes
24e4726c,14,vinna,work,,0,N,No,More than 45 minutes
24e4726c,28,gluggi,window,,0,N,No,More than 45 minutes
24e4726c,6,vor,spring,,0,N,No,More than 45 minutes
24e4726c,12,reiði,anger,,0,N,No,More than 45 minutes
24e4726c,27,hurð,door,,0,N,No,More than 45 minutes
24e4726c,13,synda,swim,,0,N,No,More than 45 minutes
24e4726c,7,haust,autumn,,0,N,No,More than 45 minutes
24e4726c,8,tungl,moon,,0,N,No,More than 45 minutes
24e4726c,20,sjá,see,,0,N,No,More than 45 minutes
24e4726c,2,eldur,fire,,0,N,No,More than 45 minutes
24e4726c,39,árangur,success,,0,N,No,More than 45 minutes
24e4726c,5,hljóð,sound,,0,N,No,More than 45 minutes
24e4726c,11,friður,peace,,0,N,No,More than 45 minutes
24e4726c,34,rödd,voice,,0,N,No,More than 45 minutes
24e4726c,35,sársauki,pain,,1,P,No,More than 45 minutes
24e4726c,36,hreyfa,move,,1,P,No,More than 45 minutes
24e4726c,21,heyra,hear,,1,P,No,More than 45 minutes
24e4726c,1,fjall,mountain,,1,P,No,More than 45 minutes
24e4726c,17,borða,eat,,1,P,No,More than 45 minutes
24e4726c,38,verkefni,project,,1,P,No,More than 45 minutes
24e4726c,4,draumur,dream,,1,P,No,More than 45 minutes
24e4726c,9,haf,sea,,1,P,No,More than 45 minutes
24e4726c,31,heppinn,lucky,,1,P,No,More than 45 minutes
24e4726c,23,vita,know,,1,P,No,More than 45 minutes
24e4726c,32,safn,museum,,1,P,No,More than 45 minutes
24e4726c,15,hlæja,laugh,,1,P,No,More than 45 minutes
24e4726c,37,fjöldi,number,,1,P,No,More than 45 minutes
24e4726c,24,framkvæmt,implementation,,1,P,No,More than 45 minutes
24e4726c,25,forystumaður,leader,,1,P,No,More than 45 minutes
24e4726c,22,hugsa,think,,1,P,No,More than 45 minutes
24e4726c,26,borg,city,,1,P,No,More than 45 minutes
24e4726c,40,skap,mood,,1,P,No,More than 45 minutes
24e4726c,33,ferð,trip,,1,P,No,More than 45 minutes
24e4726c,18,hlaupa,run,,1,P,No,More than 45 minutes
