id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
2b5434ab,19,ganga,walk,,0,N,No,More than 45 minutes
2b5434ab,23,vita,know,,0,N,No,More than 45 minutes
2b5434ab,22,hugsa,think,,0,N,No,More than 45 minutes
2b5434ab,38,verkefni,project,,0,N,No,More than 45 minutes
2b5434ab,30,þögn,silence,,0,N,No,More than 45 minutes
2b5434ab,9,haf,sea,,0,N,No,More than 45 minutes
2b5434ab,31,heppinn,lucky,,0,N,No,More than 45 minutes
2b5434ab,21,heyra,hear,,0,N,No,More than 45 minutes
2b5434ab,32,safn,museum,,0,N,No,More than 45 minutes
2b5434ab,26,borg,city,,0,N,No,More than 45 minutes
2b5434ab,39,árangur,success,,0,N,No,More than 45 minutes
2b5434ab,2,eldur,fire,,0,N,No,More than 45 minutes
2b5434ab,40,skap,mood,,0,N,No,More than 45 minutes
2b5434ab,4,draumur,dream,,0,N,No,More than 45 minutes
2b5434ab,35,sársauki,pain,,0,N,No,More than 45 minutes
2b5434ab,16,gráta,cry,,0,N,No,More than 45 minutes
2b5434ab,11,friður,peace,,0,N,No,More than 45 minutes
2b5434ab,12,reiði,anger,,0,N,No,More than 45 minutes
2b5434ab,6,vor,spring,,0,N,No,More than 45 minutes
2b5434ab,29,mynd,picture,,0,N,No,More than 45 minutes
2b5434ab,33,ferð,trip,,1,P,No,More than 45 minutes
2b5434ab,37,fjöldi,number,,1,P,No,More than 45 minutes
2b5434ab,15,hlæja,laugh,,1,P,No,More than 45 minutes
2b5434ab,14,vinna,work,,1,P,No,More than 45 minutes
2b5434ab,34,rödd,voice,,1,P,No,More than 45 minutes
2b5434ab,27,hurð,door,,1,P,No,More than 45 minutes
2b5434ab,20,sjá,see,,1,P,No,More than 45 minutes
2b5434ab,36,hreyfa,move,,1,P,No,More than 45 minutes
2b5434ab,28,gluggi,window,,1,P,No,More than 45 minutes
2b5434ab,17,borða,eat,,1,P,No,More than 45 minutes
2b5434ab,3,gleði,joy,,1,P,No,More than 45 minutes
2b5434ab,8,tungl,moon,,1,P,No,More than 45 minutes
2b5434ab,25,forystumaður,leader,,1,P,No,More than 45 minutes
2b5434ab,1,fjall,mountain,,1,P,No,More than 45 minutes
2b5434ab,7,haust,autumn,,1,P,No,More than 45 minutes
2b5434ab,24,framkvæmt,implementation,,1,P,No,More than 45 minutes
2b5434ab,5,hljóð,sound,,1,P,No,More than 45 minutes
2b5434ab,13,synda,swim,,1,P,No,More than 45 minutes
2b5434ab,10,ást,love,,1,P,No,More than 45 minutes
2b5434ab,18,hlaupa,run,,1,P,No,More than 45 minutes
