id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
2eac1f8f,23,vita,know,work,0,P,No,0-15 minutes
2eac1f8f,9,haf,sea,sea,0,P,No,0-15 minutes
2eac1f8f,36,hreyfa,move,see,0,P,No,0-15 minutes
2eac1f8f,14,vinna,work,work,0,P,No,0-15 minutes
2eac1f8f,39,árangur,success,success,0,P,No,0-15 minutes
2eac1f8f,38,verkefni,project,project,0,P,No,0-15 minutes
2eac1f8f,32,safn,museum,spring,0,P,No,0-15 minutes
2eac1f8f,30,þögn,silence,silence,0,P,No,0-15 minutes
2eac1f8f,7,haust,autumn,autum,0,P,No,0-15 minutes
2eac1f8f,20,sjá,see,see,0,P,No,0-15 minutes
2eac1f8f,13,synda,swim,swim,0,P,No,0-15 minutes
2eac1f8f,12,reiði,anger,see,0,P,No,0-15 minutes
2eac1f8f,18,hlaupa,run,run,0,P,No,0-15 minutes
2eac1f8f,26,borg,city,city,0,P,No,0-15 minutes
2eac1f8f,21,heyra,hear,hear,0,P,No,0-15 minutes
2eac1f8f,6,vor,spring,see,0,P,No,0-15 minutes
2eac1f8f,25,forystumaður,leader,leader,0,P,No,0-15 minutes
2eac1f8f,17,borða,eat,anger,0,P,No,0-15 minutes
2eac1f8f,37,fjöldi,number,spring,0,P,No,0-15 minutes
2eac1f8f,2,eldur,fire,fire,0,P,No,0-15 minutes
2eac1f8f,33,ferð,trip,smile,1,N,No,0-15 minutes
2eac1f8f,4,draumur,dream,dream,1,N,No,0-15 minutes
2eac1f8f,29,mynd,picture,moon,1,N,No,0-15 minutes
2eac1f8f,19,ganga,walk,walk,1,N,No,0-15 minutes
2eac1f8f,34,rödd,voice,sound,1,N,No,0-15 minutes
2eac1f8f,40,skap,mood,mood,1,N,No,0-15 minutes
2eac1f8f,10,ást,love,love,1,N,No,0-15 minutes
2eac1f8f,11,friður,peace,sound,1,N,No,0-15 minutes
2eac1f8f,35,sársauki,pain,pain,1,N,No,0-15 minutes
2eac1f8f,27,hurð,door,idk,1,N,No,0-15 minutes
2eac1f8f,5,hljóð,sound,sound,1,N,No,0-15 minutes
2eac1f8f,3,gleði,joy,sound,1,N,No,0-15 minutes
2eac1f8f,31,heppinn,lucky,lucky,1,N,No,0-15 minutes
2eac1f8f,8,tungl,moon,moon,1,N,No,0-15 minutes
2eac1f8f,22,hugsa,think,thought,1,N,No,0-15 minutes
2eac1f8f,24,framkvæmt,implementation,implementation,1,N,No,0-15 minutes
2eac1f8f,1,fjall,mountain,mountain,1,N,No,0-15 minutes
2eac1f8f,28,gluggi,window,joy,1,N,No,0-15 minutes
2eac1f8f,15,hlæja,laugh,laugh,1,N,No,0-15 minutes
2eac1f8f,16,gráta,cry,walk,1,N,No,0-15 minutes
