id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
3b18a1ed,1,fjall,mountain,,,,No,16-45 minutes
3b18a1ed,2,eldur,fire,fire,0.0,N,No,16-45 minutes
3b18a1ed,3,gleði,joy,,,,No,16-45 minutes
3b18a1ed,4,draumur,dream,dream,0.0,N,No,16-45 minutes
3b18a1ed,5,hljóð,sound,,,,No,16-45 minutes
3b18a1ed,6,vor,spring,,,,No,16-45 minutes
3b18a1ed,7,haust,autumn,,,,No,16-45 minutes
3b18a1ed,8,tungl,moon,,,,No,16-45 minutes
3b18a1ed,9,haf,sea,,,,No,16-45 minutes
3b18a1ed,10,ást,love,,,,No,16-45 minutes
3b18a1ed,11,friður,peace,,,,No,16-45 minutes
3b18a1ed,12,reiði,anger,,,,No,16-45 minutes
3b18a1ed,13,synda,swim,,,,No,16-45 minutes
3b18a1ed,14,vinna,work,,,,No,16-45 minutes
3b18a1ed,15,hlæja,laugh,,,,No,16-45 minutes
3b18a1ed,16,gráta,cry,,,,No,16-45 minutes
3b18a1ed,17,borða,eat,,,,No,16-45 minutes
3b18a1ed,18,hlaupa,run,,,,No,16-45 minutes
3b18a1ed,19,ganga,walk,walk,1.0,P,No,16-45 minutes
3b18a1ed,20,sjá,see,,,,No,16-45 minutes
3b18a1ed,21,heyra,hear,,,,No,16-45 minutes
3b18a1ed,22,hugsa,think,,,,No,16-45 minutes
3b18a1ed,23,vita,know,,,,No,16-45 minutes
3b18a1ed,24,framkvæmt,implementation,,,,No,16-45 minutes
3b18a1ed,25,forystumaður,leader,leader,1.0,P,No,16-45 minutes
3b18a1ed,26,borg,city,,,,No,16-45 minutes
3b18a1ed,27,hurð,door,,,,No,16-45 minutes
3b18a1ed,28,gluggi,window,,,,No,16-45 minutes
3b18a1ed,29,mynd,picture,,,,No,16-45 minutes
3b18a1ed,30,þögn,silence,,,,No,16-45 minutes
3b18a1ed,31,heppinn,lucky,lucky,1.0,P,No,16-45 minutes
3b18a1ed,32,safn,museum ,museum,1.0,P,No,16-45 minutes
3b18a1ed,33,ferð,trip ,,,,No,16-45 minutes
3b18a1ed,34,rödd,voice,,,,No,16-45 minutes
3b18a1ed,35,sársauki,pain,pain,0.0,N,No,16-45 minutes
3b18a1ed,36,hreyfa,move,move,1.0,P,No,16-45 minutes
3b18a1ed,37,fjöldi,number ,,,,No,16-45 minutes
3b18a1ed,38,verkefni,project ,,,,No,16-45 minutes
3b18a1ed,39,árangur,success,,,,No,16-45 minutes
3b18a1ed,40,skap,mood ,,,,No,16-45 minutes
