id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
3fe7c21f,29,mynd,picture,Picture,0,N,No,0-15 minutes
3fe7c21f,4,draumur,dream,Dream,0,N,No,0-15 minutes
3fe7c21f,39,árangur,success,Arrange,0,N,No,0-15 minutes
3fe7c21f,40,skap,mood,none,0,N,No,0-15 minutes
3fe7c21f,13,synda,swim,none,0,N,No,0-15 minutes
3fe7c21f,12,reiði,anger,none,0,N,No,0-15 minutes
3fe7c21f,9,haf,sea,,0,N,No,0-15 minutes
3fe7c21f,7,haust,autumn,House,0,N,No,0-15 minutes
3fe7c21f,34,rödd,voice,none,0,N,No,0-15 minutes
3fe7c21f,33,ferð,trip,Peace,0,N,No,0-15 minutes
3fe7c21f,30,þögn,silence,none,0,N,No,0-15 minutes
3fe7c21f,35,sársauki,pain,none,0,N,No,0-15 minutes
3fe7c21f,26,borg,city,City,0,N,No,0-15 minutes
3fe7c21f,18,hlaupa,run,none,0,N,No,0-15 minutes
3fe7c21f,16,gráta,cry,Cry,0,N,No,0-15 minutes
3fe7c21f,8,tungl,moon,none,0,N,No,0-15 minutes
3fe7c21f,2,eldur,fire,Picture,0,N,No,0-15 minutes
3fe7c21f,5,hljóð,sound,,0,N,No,0-15 minutes
3fe7c21f,22,hugsa,think,none,0,N,No,0-15 minutes
3fe7c21f,11,friður,peace,none,0,N,No,0-15 minutes
3fe7c21f,27,hurð,door,none,1,P,No,0-15 minutes
3fe7c21f,24,framkvæmt,implementation,Implamentation,1,P,No,0-15 minutes
3fe7c21f,10,ást,love,Love,1,P,No,0-15 minutes
3fe7c21f,32,safn,museum,Soon,1,P,No,0-15 minutes
3fe7c21f,31,heppinn,lucky,none,1,P,No,0-15 minutes
3fe7c21f,28,gluggi,window,Window,1,P,No,0-15 minutes
3fe7c21f,19,ganga,walk,Walk,1,P,No,0-15 minutes
3fe7c21f,14,vinna,work,Wind,1,P,No,0-15 minutes
3fe7c21f,20,sjá,see,See,1,P,No,0-15 minutes
3fe7c21f,25,forystumaður,leader,Leader,1,P,No,0-15 minutes
3fe7c21f,6,vor,spring,Spring,1,P,No,0-15 minutes
3fe7c21f,36,hreyfa,move,Hear,1,P,No,0-15 minutes
3fe7c21f,15,hlæja,laugh,Home,1,P,No,0-15 minutes
3fe7c21f,21,heyra,hear,none,1,P,No,0-15 minutes
3fe7c21f,1,fjall,mountain,Fall,1,P,No,0-15 minutes
3fe7c21f,17,borða,eat,none,1,P,No,0-15 minutes
3fe7c21f,38,verkefni,project,none,1,P,No,0-15 minutes
3fe7c21f,37,fjöldi,number,none,1,P,No,0-15 minutes
3fe7c21f,3,gleði,joy,none,1,P,No,0-15 minutes
3fe7c21f,23,vita,know,Wind,1,P,No,0-15 minutes
