id,word_id,ice,eng,answ_1,answ_2
409d1e22,1,Gluggi,Window,,
409d1e22,2,Stóll,Chair,,
409d1e22,3,Borð,Table,,
409d1e22,4,Fatnaður,Clothing,,
409d1e22,5,Skór,Shoes,,
409d1e22,6,Sokkar,Socks,,
409d1e22,7,Jakki,Jacket,,
409d1e22,8,Hattur,Hat,,
409d1e22,9,Mynd,Picture,,
409d1e22,10,Ljós,Light,,
409d1e22,11,Hár,Hair,,
409d1e22,12,Auga,Eye,,
409d1e22,13,Tennur,Teeth,,
409d1e22,14,Hjörtu,Hearts,,
409d1e22,15,Hönd,Hand,,
409d1e22,16,Fótur,Foot,,
409d1e22,17,Borg,City,,
409d1e22,18,Kirkja,Church,,
409d1e22,19,Bréf,Letter,,
409d1e22,20,Lykill,Key,,
