id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
4694ef8b,19,ganga,walk,walk,0,N,No,0-15 minutes
4694ef8b,28,gluggi,window,window,0,N,No,0-15 minutes
4694ef8b,14,vinna,work,work,0,N,No,0-15 minutes
4694ef8b,13,synda,swim,swim,0,N,No,0-15 minutes
4694ef8b,5,hljóð,sound,none,0,N,No,0-15 minutes
4694ef8b,30,þögn,silence,silence,0,N,No,0-15 minutes
4694ef8b,35,sársauki,pain,pain,0,N,No,0-15 minutes
4694ef8b,15,hlæja,laugh,none,0,N,No,0-15 minutes
4694ef8b,29,mynd,picture,picture,0,N,No,0-15 minutes
4694ef8b,26,borg,city,city,0,N,No,0-15 minutes
4694ef8b,31,heppinn,lucky,lucky,0,N,No,0-15 minutes
4694ef8b,8,tungl,moon,moon,0,N,No,0-15 minutes
4694ef8b,25,forystumaður,leader,leader,0,N,No,0-15 minutes
4694ef8b,18,hlaupa,run,run,0,N,No,0-15 minutes
4694ef8b,1,fjall,mountain,mountain,0,N,No,0-15 minutes
4694ef8b,39,árangur,success,none,0,N,No,0-15 minutes
4694ef8b,16,gráta,cry,sound,0,N,No,0-15 minutes
4694ef8b,3,gleði,joy,joy,0,N,No,0-15 minutes
4694ef8b,21,heyra,hear,none,0,N,No,0-15 minutes
4694ef8b,4,draumur,dream,dream,0,N,No,0-15 minutes
4694ef8b,23,vita,know,know,1,P,No,0-15 minutes
4694ef8b,27,hurð,door,door,1,P,No,0-15 minutes
4694ef8b,38,verkefni,project,project,1,P,No,0-15 minutes
4694ef8b,7,haust,autumn,autumn,1,P,No,0-15 minutes
4694ef8b,37,fjöldi,number,none,1,P,No,0-15 minutes
4694ef8b,32,safn,museum,museum,1,P,No,0-15 minutes
4694ef8b,20,sjá,see,see,1,P,No,0-15 minutes
4694ef8b,17,borða,eat,eat,1,P,No,0-15 minutes
4694ef8b,34,rödd,voice,voice,1,P,No,0-15 minutes
4694ef8b,12,reiði,anger,anger,1,P,No,0-15 minutes
4694ef8b,36,hreyfa,move,none,1,P,No,0-15 minutes
4694ef8b,9,haf,sea,sea,1,P,No,0-15 minutes
4694ef8b,2,eldur,fire,fire,1,P,No,0-15 minutes
4694ef8b,6,vor,spring,spring,1,P,No,0-15 minutes
4694ef8b,24,framkvæmt,implementation,implementation,1,P,No,0-15 minutes
4694ef8b,33,ferð,trip,trip,1,P,No,0-15 minutes
4694ef8b,11,friður,peace,peace,1,P,No,0-15 minutes
4694ef8b,40,skap,mood,move,1,P,No,0-15 minutes
4694ef8b,22,hugsa,think,thought,1,P,No,0-15 minutes
4694ef8b,10,ást,love,love,1,P,No,0-15 minutes
