id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
558235af,36,hreyfa,move,none,0,N,No,More than 45 minutes
558235af,14,vinna,work,none,0,N,No,More than 45 minutes
558235af,20,sjá,see,none,0,N,No,More than 45 minutes
558235af,1,fjall,mountain,none,0,N,No,More than 45 minutes
558235af,8,tungl,moon,none,0,N,No,More than 45 minutes
558235af,16,gráta,cry,none,0,N,No,More than 45 minutes
558235af,33,ferð,trip,none,0,N,No,More than 45 minutes
558235af,10,ást,love,none,0,N,No,More than 45 minutes
558235af,34,rödd,voice,none,0,N,No,More than 45 minutes
558235af,19,ganga,walk,none,0,N,No,More than 45 minutes
558235af,12,reiði,anger,none,0,N,No,More than 45 minutes
558235af,26,borg,city,none,0,N,No,More than 45 minutes
558235af,17,borða,eat,none,0,N,No,More than 45 minutes
558235af,22,hugsa,think,none,0,N,No,More than 45 minutes
558235af,2,eldur,fire,none,0,N,No,More than 45 minutes
558235af,21,heyra,hear,none,0,N,No,More than 45 minutes
558235af,23,vita,know,none,0,N,No,More than 45 minutes
558235af,39,árangur,success,none,0,N,No,More than 45 minutes
558235af,3,gleði,joy,none,0,N,No,More than 45 minutes
558235af,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
558235af,11,friður,peace,none,1,P,No,More than 45 minutes
558235af,25,forystumaður,leader,none,1,P,No,More than 45 minutes
558235af,27,hurð,door,none,1,P,No,More than 45 minutes
558235af,40,skap,mood,none,1,P,No,More than 45 minutes
558235af,9,haf,sea,none,1,P,No,More than 45 minutes
558235af,15,hlæja,laugh,none,1,P,No,More than 45 minutes
558235af,18,hlaupa,run,none,1,P,No,More than 45 minutes
558235af,38,verkefni,project,none,1,P,No,More than 45 minutes
558235af,5,hljóð,sound,none,1,P,No,More than 45 minutes
558235af,13,synda,swim,none,1,P,No,More than 45 minutes
558235af,6,vor,spring,none,1,P,No,More than 45 minutes
558235af,35,sársauki,pain,none,1,P,No,More than 45 minutes
558235af,7,haust,autumn,none,1,P,No,More than 45 minutes
558235af,4,draumur,dream,none,1,P,No,More than 45 minutes
558235af,30,þögn,silence,none,1,P,No,More than 45 minutes
558235af,37,fjöldi,number,none,1,P,No,More than 45 minutes
558235af,32,safn,museum,none,1,P,No,More than 45 minutes
558235af,29,mynd,picture,none,1,P,No,More than 45 minutes
558235af,31,heppinn,lucky,none,1,P,No,More than 45 minutes
558235af,28,gluggi,window,none,1,P,No,More than 45 minutes
