id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
57acf7c0,37,fjöldi,number,number,0,P,No,0-15 minutes
57acf7c0,20,sjá,see,see,0,P,No,0-15 minutes
57acf7c0,23,vita,know,know,0,P,No,0-15 minutes
57acf7c0,27,hurð,door,none,0,P,No,0-15 minutes
57acf7c0,9,haf,sea,sea,0,P,No,0-15 minutes
57acf7c0,21,heyra,hear,none,0,P,No,0-15 minutes
57acf7c0,38,verkefni,project,none,0,P,No,0-15 minutes
57acf7c0,19,ganga,walk,none,0,P,No,0-15 minutes
57acf7c0,25,forystumaður,leader,implementation,0,P,No,0-15 minutes
57acf7c0,17,borða,eat,none,0,P,No,0-15 minutes
57acf7c0,15,hlæja,laugh,none,0,P,No,0-15 minutes
57acf7c0,22,hugsa,think,none,0,P,No,0-15 minutes
57acf7c0,35,sársauki,pain,none,0,P,No,0-15 minutes
57acf7c0,5,hljóð,sound,none,0,P,No,0-15 minutes
57acf7c0,13,synda,swim,swim,0,P,No,0-15 minutes
57acf7c0,39,árangur,success,none,0,P,No,0-15 minutes
57acf7c0,24,framkvæmt,implementation,none,0,P,No,0-15 minutes
57acf7c0,32,safn,museum,museum,0,P,No,0-15 minutes
57acf7c0,31,heppinn,lucky,lucky,0,P,No,0-15 minutes
57acf7c0,7,haust,autumn,autumn,0,P,No,0-15 minutes
57acf7c0,1,fjall,mountain,mountain,1,N,No,0-15 minutes
57acf7c0,14,vinna,work,work,1,N,No,0-15 minutes
57acf7c0,4,draumur,dream,dream,1,N,No,0-15 minutes
57acf7c0,34,rödd,voice,none,1,N,No,0-15 minutes
57acf7c0,16,gráta,cry,cry,1,N,No,0-15 minutes
57acf7c0,26,borg,city,city,1,N,No,0-15 minutes
57acf7c0,11,friður,peace,peace,1,N,No,0-15 minutes
57acf7c0,33,ferð,trip,none,1,N,No,0-15 minutes
57acf7c0,29,mynd,picture,picture,1,N,No,0-15 minutes
57acf7c0,6,vor,spring,spring,1,N,No,0-15 minutes
57acf7c0,8,tungl,moon,none,1,N,No,0-15 minutes
57acf7c0,18,hlaupa,run,none,1,N,No,0-15 minutes
57acf7c0,40,skap,mood,none,1,N,No,0-15 minutes
57acf7c0,30,þögn,silence,none,1,N,No,0-15 minutes
57acf7c0,10,ást,love,none,1,N,No,0-15 minutes
57acf7c0,28,gluggi,window,none,1,N,No,0-15 minutes
57acf7c0,12,reiði,anger,peace,1,N,No,0-15 minutes
57acf7c0,36,hreyfa,move,none,1,N,No,0-15 minutes
57acf7c0,3,gleði,joy,none,1,N,No,0-15 minutes
57acf7c0,2,eldur,fire,none,1,N,No,0-15 minutes
