id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
64dacf01,19,ganga,walk,none,0,N,No,More than 45 minutes
64dacf01,30,þögn,silence,none,0,N,No,More than 45 minutes
64dacf01,12,reiði,anger,none,0,N,No,More than 45 minutes
64dacf01,22,hugsa,think,none,0,N,No,More than 45 minutes
64dacf01,13,synda,swim,none,0,N,No,More than 45 minutes
64dacf01,9,haf,sea,none,0,N,No,More than 45 minutes
64dacf01,39,árangur,success,none,0,N,No,More than 45 minutes
64dacf01,11,friður,peace,none,0,N,No,More than 45 minutes
64dacf01,25,forystumaður,leader,none,0,N,No,More than 45 minutes
64dacf01,23,vita,know,none,0,N,No,More than 45 minutes
64dacf01,28,gluggi,window,none,0,N,No,More than 45 minutes
64dacf01,16,gráta,cry,none,0,N,No,More than 45 minutes
64dacf01,4,draumur,dream,none,0,N,No,More than 45 minutes
64dacf01,32,safn,museum,none,0,N,No,More than 45 minutes
64dacf01,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
64dacf01,26,borg,city,none,0,N,No,More than 45 minutes
64dacf01,35,sársauki,pain,none,0,N,No,More than 45 minutes
64dacf01,38,verkefni,project,none,0,N,No,More than 45 minutes
64dacf01,20,sjá,see,none,0,N,No,More than 45 minutes
64dacf01,7,haust,autumn,none,0,N,No,More than 45 minutes
64dacf01,27,hurð,door,,1,P,No,More than 45 minutes
64dacf01,40,skap,mood,,1,P,No,More than 45 minutes
64dacf01,15,hlæja,laugh,,1,P,No,More than 45 minutes
64dacf01,3,gleði,joy,,1,P,No,More than 45 minutes
64dacf01,29,mynd,picture,,1,P,No,More than 45 minutes
64dacf01,36,hreyfa,move,,1,P,No,More than 45 minutes
64dacf01,8,tungl,moon,,1,P,No,More than 45 minutes
64dacf01,21,heyra,hear,,1,P,No,More than 45 minutes
64dacf01,34,rödd,voice,,1,P,No,More than 45 minutes
64dacf01,33,ferð,trip,,1,P,No,More than 45 minutes
64dacf01,37,fjöldi,number,,1,P,No,More than 45 minutes
64dacf01,10,ást,love,,1,P,No,More than 45 minutes
64dacf01,14,vinna,work,,1,P,No,More than 45 minutes
64dacf01,2,eldur,fire,,1,P,No,More than 45 minutes
64dacf01,5,hljóð,sound,,1,P,No,More than 45 minutes
64dacf01,1,fjall,mountain,,1,P,No,More than 45 minutes
64dacf01,31,heppinn,lucky,,1,P,No,More than 45 minutes
64dacf01,18,hlaupa,run,,1,P,No,More than 45 minutes
64dacf01,6,vor,spring,,1,P,No,More than 45 minutes
64dacf01,17,borða,eat,,1,P,No,More than 45 minutes
