id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
6f3422eb,1,fjall,mountain,,,,No,16-45 minutes
6f3422eb,2,eldur,fire,fire,1.0,P,No,16-45 minutes
6f3422eb,3,gleði,joy,,,,No,16-45 minutes
6f3422eb,4,draumur,dream,,,,No,16-45 minutes
6f3422eb,5,hljóð,sound,,,,No,16-45 minutes
6f3422eb,6,vor,spring,spring,1.0,P,No,16-45 minutes
6f3422eb,7,haust,autumn,,,,No,16-45 minutes
6f3422eb,8,tungl,moon,moon,0.0,N,No,16-45 minutes
6f3422eb,9,haf,sea,,,,No,16-45 minutes
6f3422eb,10,ást,love,,,,No,16-45 minutes
6f3422eb,11,friður,peace,,,,No,16-45 minutes
6f3422eb,12,reiði,anger,,,,No,16-45 minutes
6f3422eb,13,synda,swim,swim,0.0,N,No,16-45 minutes
6f3422eb,14,vinna,work,work,0.0,N,No,16-45 minutes
6f3422eb,15,hlæja,laugh,,,,No,16-45 minutes
6f3422eb,16,gráta,cry,,,,No,16-45 minutes
6f3422eb,17,borða,eat,,,,No,16-45 minutes
6f3422eb,18,hlaupa,run,run,1.0,P,No,16-45 minutes
6f3422eb,19,ganga,walk,,,,No,16-45 minutes
6f3422eb,20,sjá,see,see,0.0,N,No,16-45 minutes
6f3422eb,21,heyra,hear,,,,No,16-45 minutes
6f3422eb,22,hugsa,think,,,,No,16-45 minutes
6f3422eb,23,vita,know,know,0.0,N,No,16-45 minutes
6f3422eb,24,framkvæmt,implementation,implementation,0.0,N,No,16-45 minutes
6f3422eb,25,forystumaður,leader,leader,1.0,P,No,16-45 minutes
6f3422eb,26,borg,city,city,0.0,N,No,16-45 minutes
6f3422eb,27,hurð,door,door,1.0,P,No,16-45 minutes
6f3422eb,28,gluggi,window,window,0.0,N,No,16-45 minutes
6f3422eb,29,mynd,picture,picture,0.0,N,No,16-45 minutes
6f3422eb,30,þögn,silence,,,,No,16-45 minutes
6f3422eb,31,heppinn,lucky,lucky,1.0,P,No,16-45 minutes
6f3422eb,32,safn,museum ,museum,0.0,N,No,16-45 minutes
6f3422eb,33,ferð,trip ,,,,No,16-45 minutes
6f3422eb,34,rödd,voice,voice,0.0,N,No,16-45 minutes
6f3422eb,35,sársauki,pain,pain,0.0,N,No,16-45 minutes
6f3422eb,36,hreyfa,move,move,0.0,N,No,16-45 minutes
6f3422eb,37,fjöldi,number ,,,,No,16-45 minutes
6f3422eb,38,verkefni,project ,,,,No,16-45 minutes
6f3422eb,39,árangur,success,,,,No,16-45 minutes
6f3422eb,40,skap,mood ,,,,No,16-45 minutes
