id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
748c636f,35,sársauki,pain,,0,N,No,More than 45 minutes
748c636f,25,forystumaður,leader,,0,N,No,More than 45 minutes
748c636f,37,fjöldi,number,,0,N,No,More than 45 minutes
748c636f,2,eldur,fire,,0,N,No,More than 45 minutes
748c636f,23,vita,know,,0,N,No,More than 45 minutes
748c636f,28,gluggi,window,,0,N,No,More than 45 minutes
748c636f,22,hugsa,think,,0,N,No,More than 45 minutes
748c636f,39,árangur,success,,0,N,No,More than 45 minutes
748c636f,1,fjall,mountain,,0,N,No,More than 45 minutes
748c636f,40,skap,mood,,0,N,No,More than 45 minutes
748c636f,13,synda,swim,,0,N,No,More than 45 minutes
748c636f,11,friður,peace,,0,N,No,More than 45 minutes
748c636f,31,heppinn,lucky,,0,N,No,More than 45 minutes
748c636f,36,hreyfa,move,,0,N,No,More than 45 minutes
748c636f,30,þögn,silence,,0,N,No,More than 45 minutes
748c636f,17,borða,eat,,0,N,No,More than 45 minutes
748c636f,24,framkvæmt,implementation,,0,N,No,More than 45 minutes
748c636f,32,safn,museum,,0,N,No,More than 45 minutes
748c636f,15,hlæja,laugh,,0,N,No,More than 45 minutes
748c636f,10,ást,love,,0,N,No,More than 45 minutes
748c636f,18,hlaupa,run,none,1,P,No,More than 45 minutes
748c636f,14,vinna,work,none,1,P,No,More than 45 minutes
748c636f,26,borg,city,none,1,P,No,More than 45 minutes
748c636f,5,hljóð,sound,none,1,P,No,More than 45 minutes
748c636f,12,reiði,anger,none,1,P,No,More than 45 minutes
748c636f,20,sjá,see,none,1,P,No,More than 45 minutes
748c636f,38,verkefni,project,none,1,P,No,More than 45 minutes
748c636f,29,mynd,picture,none,1,P,No,More than 45 minutes
748c636f,33,ferð,trip,none,1,P,No,More than 45 minutes
748c636f,21,heyra,hear,none,1,P,No,More than 45 minutes
748c636f,19,ganga,walk,none,1,P,No,More than 45 minutes
748c636f,6,vor,spring,none,1,P,No,More than 45 minutes
748c636f,8,tungl,moon,none,1,P,No,More than 45 minutes
748c636f,9,haf,sea,none,1,P,No,More than 45 minutes
748c636f,27,hurð,door,none,1,P,No,More than 45 minutes
748c636f,3,gleði,joy,none,1,P,No,More than 45 minutes
748c636f,4,draumur,dream,none,1,P,No,More than 45 minutes
748c636f,7,haust,autumn,none,1,P,No,More than 45 minutes
748c636f,34,rödd,voice,none,1,P,No,More than 45 minutes
748c636f,16,gráta,cry,none,1,P,No,More than 45 minutes
