id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
75b3bb64,12,reiði,anger,none,0,N,No,0-15 minutes
75b3bb64,9,haf,sea,sea,0,N,No,0-15 minutes
75b3bb64,37,fjöldi,number,none,0,N,No,0-15 minutes
75b3bb64,33,ferð,trip,none,0,N,No,0-15 minutes
75b3bb64,24,framkvæmt,implementation,implement,0,N,No,0-15 minutes
75b3bb64,11,friður,peace,peace,0,N,No,0-15 minutes
75b3bb64,38,verkefni,project,project,0,N,No,0-15 minutes
75b3bb64,27,hurð,door,door,0,N,No,0-15 minutes
75b3bb64,5,hljóð,sound,none,0,N,No,0-15 minutes
75b3bb64,15,hlæja,laugh,laugh,0,N,No,0-15 minutes
75b3bb64,6,vor,spring,none,0,N,No,0-15 minutes
75b3bb64,3,gleði,joy,none,0,N,No,0-15 minutes
75b3bb64,23,vita,know,think,0,N,No,0-15 minutes
75b3bb64,13,synda,swim,none,0,N,No,0-15 minutes
75b3bb64,35,sársauki,pain,pain,0,N,No,0-15 minutes
75b3bb64,20,sjá,see,see,0,N,No,0-15 minutes
75b3bb64,22,hugsa,think,none,0,N,No,0-15 minutes
75b3bb64,18,hlaupa,run,none,0,N,No,0-15 minutes
75b3bb64,31,heppinn,lucky,lucky,0,N,No,0-15 minutes
75b3bb64,34,rödd,voice,none,0,N,No,0-15 minutes
75b3bb64,21,heyra,hear,hear,1,P,No,0-15 minutes
75b3bb64,26,borg,city,city,1,P,No,0-15 minutes
75b3bb64,28,gluggi,window,window,1,P,No,0-15 minutes
75b3bb64,7,haust,autumn,house,1,P,No,0-15 minutes
75b3bb64,39,árangur,success,none,1,P,No,0-15 minutes
75b3bb64,25,forystumaður,leader,leader,1,P,No,0-15 minutes
75b3bb64,8,tungl,moon,none,1,P,No,0-15 minutes
75b3bb64,2,eldur,fire,fire,1,P,No,0-15 minutes
75b3bb64,16,gráta,cry,cry,1,P,No,0-15 minutes
75b3bb64,19,ganga,walk,walk,1,P,No,0-15 minutes
75b3bb64,30,þögn,silence,quiet,1,P,No,0-15 minutes
75b3bb64,17,borða,eat,eat,1,P,No,0-15 minutes
75b3bb64,4,draumur,dream,dream,1,P,No,0-15 minutes
75b3bb64,1,fjall,mountain,mountain,1,P,No,0-15 minutes
75b3bb64,14,vinna,work,work,1,P,No,0-15 minutes
75b3bb64,32,safn,museum,none,1,P,No,0-15 minutes
75b3bb64,36,hreyfa,move,move,1,P,No,0-15 minutes
75b3bb64,10,ást,love,love,1,P,No,0-15 minutes
75b3bb64,40,skap,mood,mood,1,P,No,0-15 minutes
75b3bb64,29,mynd,picture,picture,1,P,No,0-15 minutes
