id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
7bc7fdfc,30,þögn,silence,,0,N,No,0-15 minutes
7bc7fdfc,23,vita,know,,0,N,No,0-15 minutes
7bc7fdfc,24,framkvæmt,implementation,,0,N,No,0-15 minutes
7bc7fdfc,2,eldur,fire,,0,N,No,0-15 minutes
7bc7fdfc,40,skap,mood,,0,N,No,0-15 minutes
7bc7fdfc,10,ást,love,,0,N,No,0-15 minutes
7bc7fdfc,15,hlæja,laugh,,0,N,No,0-15 minutes
7bc7fdfc,28,gluggi,window,,0,N,No,0-15 minutes
7bc7fdfc,1,fjall,mountain,,0,N,No,0-15 minutes
7bc7fdfc,14,vinna,work,,0,N,No,0-15 minutes
7bc7fdfc,19,ganga,walk,,0,N,No,0-15 minutes
7bc7fdfc,8,tungl,moon,,0,N,No,0-15 minutes
7bc7fdfc,33,ferð,trip,,0,N,No,0-15 minutes
7bc7fdfc,36,hreyfa,move,,0,N,No,0-15 minutes
7bc7fdfc,9,haf,sea,,0,N,No,0-15 minutes
7bc7fdfc,7,haust,autumn,,0,N,No,0-15 minutes
7bc7fdfc,34,rödd,voice,,0,N,No,0-15 minutes
7bc7fdfc,29,mynd,picture,,0,N,No,0-15 minutes
7bc7fdfc,35,sársauki,pain,,0,N,No,0-15 minutes
7bc7fdfc,13,synda,swim,,0,N,No,0-15 minutes
7bc7fdfc,5,hljóð,sound,,1,P,No,0-15 minutes
7bc7fdfc,3,gleði,joy,,1,P,No,0-15 minutes
7bc7fdfc,26,borg,city,,1,P,No,0-15 minutes
7bc7fdfc,6,vor,spring,,1,P,No,0-15 minutes
7bc7fdfc,18,hlaupa,run,,1,P,No,0-15 minutes
7bc7fdfc,39,árangur,success,,1,P,No,0-15 minutes
7bc7fdfc,25,forystumaður,leader,,1,P,No,0-15 minutes
7bc7fdfc,12,reiði,anger,,1,P,No,0-15 minutes
7bc7fdfc,32,safn,museum,,1,P,No,0-15 minutes
7bc7fdfc,11,friður,peace,,1,P,No,0-15 minutes
7bc7fdfc,37,fjöldi,number,,1,P,No,0-15 minutes
7bc7fdfc,27,hurð,door,,1,P,No,0-15 minutes
7bc7fdfc,21,heyra,hear,,1,P,No,0-15 minutes
7bc7fdfc,16,gráta,cry,,1,P,No,0-15 minutes
7bc7fdfc,22,hugsa,think,,1,P,No,0-15 minutes
7bc7fdfc,31,heppinn,lucky,,1,P,No,0-15 minutes
7bc7fdfc,4,draumur,dream,,1,P,No,0-15 minutes
7bc7fdfc,20,sjá,see,,1,P,No,0-15 minutes
7bc7fdfc,38,verkefni,project,,1,P,No,0-15 minutes
7bc7fdfc,17,borða,eat,,1,P,No,0-15 minutes
