id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
7d907386,18,hlaupa,run,none,0,N,No,More than 45 minutes
7d907386,35,sársauki,pain,none,0,N,No,More than 45 minutes
7d907386,4,draumur,dream,none,0,N,No,More than 45 minutes
7d907386,2,eldur,fire,none,0,N,No,More than 45 minutes
7d907386,40,skap,mood,none,0,N,No,More than 45 minutes
7d907386,37,fjöldi,number,none,0,N,No,More than 45 minutes
7d907386,26,borg,city,none,0,N,No,More than 45 minutes
7d907386,22,hugsa,think,none,0,N,No,More than 45 minutes
7d907386,9,haf,sea,none,0,N,No,More than 45 minutes
7d907386,3,gleði,joy,none,0,N,No,More than 45 minutes
7d907386,31,heppinn,lucky,none,0,N,No,More than 45 minutes
7d907386,13,synda,swim,none,0,N,No,More than 45 minutes
7d907386,32,safn,museum,none,0,N,No,More than 45 minutes
7d907386,33,ferð,trip,none,0,N,No,More than 45 minutes
7d907386,34,rödd,voice,none,0,N,No,More than 45 minutes
7d907386,5,hljóð,sound,none,0,N,No,More than 45 minutes
7d907386,20,sjá,see,none,0,N,No,More than 45 minutes
7d907386,10,ást,love,none,0,N,No,More than 45 minutes
7d907386,30,þögn,silence,none,0,N,No,More than 45 minutes
7d907386,28,gluggi,window,none,0,N,No,More than 45 minutes
7d907386,8,tungl,moon,none,1,P,No,More than 45 minutes
7d907386,27,hurð,door,none,1,P,No,More than 45 minutes
7d907386,21,heyra,hear,none,1,P,No,More than 45 minutes
7d907386,38,verkefni,project,none,1,P,No,More than 45 minutes
7d907386,19,ganga,walk,none,1,P,No,More than 45 minutes
7d907386,15,hlæja,laugh,none,1,P,No,More than 45 minutes
7d907386,16,gráta,cry,none,1,P,No,More than 45 minutes
7d907386,29,mynd,picture,none,1,P,No,More than 45 minutes
7d907386,23,vita,know,none,1,P,No,More than 45 minutes
7d907386,24,framkvæmt,implementation,none,1,P,No,More than 45 minutes
7d907386,39,árangur,success,none,1,P,No,More than 45 minutes
7d907386,6,vor,spring,none,1,P,No,More than 45 minutes
7d907386,14,vinna,work,none,1,P,No,More than 45 minutes
7d907386,12,reiði,anger,none,1,P,No,More than 45 minutes
7d907386,1,fjall,mountain,none,1,P,No,More than 45 minutes
7d907386,11,friður,peace,none,1,P,No,More than 45 minutes
7d907386,17,borða,eat,none,1,P,No,More than 45 minutes
7d907386,7,haust,autumn,none,1,P,No,More than 45 minutes
7d907386,36,hreyfa,move,none,1,P,No,More than 45 minutes
7d907386,25,forystumaður,leader,none,1,P,No,More than 45 minutes
