id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
7fea18e5,1,fjall,mountain,none,0,N,No,More than 45 minutes
7fea18e5,27,hurð,door,none,0,N,No,More than 45 minutes
7fea18e5,2,eldur,fire,none,0,N,No,More than 45 minutes
7fea18e5,39,árangur,success,none,0,N,No,More than 45 minutes
7fea18e5,13,synda,swim,none,0,N,No,More than 45 minutes
7fea18e5,12,reiði,anger,none,0,N,No,More than 45 minutes
7fea18e5,32,safn,museum,none,0,N,No,More than 45 minutes
7fea18e5,7,haust,autumn,none,0,N,No,More than 45 minutes
7fea18e5,6,vor,spring,none,0,N,No,More than 45 minutes
7fea18e5,14,vinna,work,none,0,N,No,More than 45 minutes
7fea18e5,37,fjöldi,number,none,0,N,No,More than 45 minutes
7fea18e5,17,borða,eat,none,0,N,No,More than 45 minutes
7fea18e5,8,tungl,moon,none,0,N,No,More than 45 minutes
7fea18e5,9,haf,sea,none,0,N,No,More than 45 minutes
7fea18e5,40,skap,mood,none,0,N,No,More than 45 minutes
7fea18e5,10,ást,love,none,0,N,No,More than 45 minutes
7fea18e5,26,borg,city,none,0,N,No,More than 45 minutes
7fea18e5,34,rödd,voice,none,0,N,No,More than 45 minutes
7fea18e5,23,vita,know,none,0,N,No,More than 45 minutes
7fea18e5,28,gluggi,window,none,0,N,No,More than 45 minutes
7fea18e5,30,þögn,silence,none,1,P,No,More than 45 minutes
7fea18e5,36,hreyfa,move,none,1,P,No,More than 45 minutes
7fea18e5,15,hlæja,laugh,none,1,P,No,More than 45 minutes
7fea18e5,18,hlaupa,run,none,1,P,No,More than 45 minutes
7fea18e5,11,friður,peace,none,1,P,No,More than 45 minutes
7fea18e5,29,mynd,picture,none,1,P,No,More than 45 minutes
7fea18e5,38,verkefni,project,none,1,P,No,More than 45 minutes
7fea18e5,22,hugsa,think,none,1,P,No,More than 45 minutes
7fea18e5,21,heyra,hear,none,1,P,No,More than 45 minutes
7fea18e5,19,ganga,walk,none,1,P,No,More than 45 minutes
7fea18e5,3,gleði,joy,none,1,P,No,More than 45 minutes
7fea18e5,31,heppinn,lucky,none,1,P,No,More than 45 minutes
7fea18e5,20,sjá,see,none,1,P,No,More than 45 minutes
7fea18e5,25,forystumaður,leader,none,1,P,No,More than 45 minutes
7fea18e5,16,gráta,cry,none,1,P,No,More than 45 minutes
7fea18e5,4,draumur,dream,none,1,P,No,More than 45 minutes
7fea18e5,35,sársauki,pain,none,1,P,No,More than 45 minutes
7fea18e5,5,hljóð,sound,none,1,P,No,More than 45 minutes
7fea18e5,24,framkvæmt,implementation,none,1,P,No,More than 45 minutes
7fea18e5,33,ferð,trip,none,1,P,No,More than 45 minutes
