id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
81a463c0,15,hlæja,laugh,none,0,P,No,0-15 minutes
81a463c0,23,vita,know,know,0,P,No,0-15 minutes
81a463c0,36,hreyfa,move,sound,0,P,No,0-15 minutes
81a463c0,9,haf,sea,swim,0,P,No,0-15 minutes
81a463c0,13,synda,swim,none,0,P,No,0-15 minutes
81a463c0,14,vinna,work,work,0,P,No,0-15 minutes
81a463c0,21,heyra,hear,move,0,P,No,0-15 minutes
81a463c0,31,heppinn,lucky,lucky,0,P,No,0-15 minutes
81a463c0,4,draumur,dream,dream,0,P,No,0-15 minutes
81a463c0,20,sjá,see,see,0,P,No,0-15 minutes
81a463c0,37,fjöldi,number,number,0,P,No,0-15 minutes
81a463c0,2,eldur,fire,fire,0,P,No,0-15 minutes
81a463c0,30,þögn,silence,silence,0,P,No,0-15 minutes
81a463c0,25,forystumaður,leader,leader,0,P,No,0-15 minutes
81a463c0,40,skap,mood,mood,0,P,No,0-15 minutes
81a463c0,17,borða,eat,none,0,P,No,0-15 minutes
81a463c0,10,ást,love,love,0,P,No,0-15 minutes
81a463c0,27,hurð,door,door,0,P,No,0-15 minutes
81a463c0,5,hljóð,sound,door,0,P,No,0-15 minutes
81a463c0,12,reiði,anger,none,0,P,No,0-15 minutes
81a463c0,38,verkefni,project,none,1,N,No,0-15 minutes
81a463c0,26,borg,city,city,1,N,No,0-15 minutes
81a463c0,19,ganga,walk,walk,1,N,No,0-15 minutes
81a463c0,35,sársauki,pain,cry,1,N,No,0-15 minutes
81a463c0,32,safn,museum,museum,1,N,No,0-15 minutes
81a463c0,24,framkvæmt,implementation,implementation,1,N,No,0-15 minutes
81a463c0,18,hlaupa,run,none,1,N,No,0-15 minutes
81a463c0,3,gleði,joy,joy,1,N,No,0-15 minutes
81a463c0,39,árangur,success,success,1,N,No,0-15 minutes
81a463c0,16,gráta,cry,cry,1,N,No,0-15 minutes
81a463c0,8,tungl,moon,moon,1,N,No,0-15 minutes
81a463c0,7,haust,autumn,none,1,N,No,0-15 minutes
81a463c0,6,vor,spring,spring,1,N,No,0-15 minutes
81a463c0,33,ferð,trip,trip,1,N,No,0-15 minutes
81a463c0,22,hugsa,think,none,1,N,No,0-15 minutes
81a463c0,11,friður,peace,autumn,1,N,No,0-15 minutes
81a463c0,28,gluggi,window,window,1,N,No,0-15 minutes
81a463c0,29,mynd,picture,picture,1,N,No,0-15 minutes
81a463c0,34,rödd,voice,voice,1,N,No,0-15 minutes
81a463c0,1,fjall,mountain,none,1,N,No,0-15 minutes
