id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
829376dd,26,borg,city,city,0,N,No,0-15 minutes
829376dd,11,friður,peace,sound,0,N,No,0-15 minutes
829376dd,5,hljóð,sound,moon,0,N,No,0-15 minutes
829376dd,8,tungl,moon,none,0,N,No,0-15 minutes
829376dd,7,haust,autumn,home,0,N,No,0-15 minutes
829376dd,16,gráta,cry,cry,0,N,No,0-15 minutes
829376dd,14,vinna,work,none,0,N,No,0-15 minutes
829376dd,37,fjöldi,number,none,0,N,No,0-15 minutes
829376dd,4,draumur,dream,dream,0,N,No,0-15 minutes
829376dd,32,safn,museum,museum,0,N,No,0-15 minutes
829376dd,31,heppinn,lucky,happy,0,N,No,0-15 minutes
829376dd,36,hreyfa,move,work,0,N,No,0-15 minutes
829376dd,25,forystumaður,leader,none,0,N,No,0-15 minutes
829376dd,1,fjall,mountain,,0,N,No,0-15 minutes
829376dd,24,framkvæmt,implementation,implementation,0,N,No,0-15 minutes
829376dd,28,gluggi,window,success,0,N,No,0-15 minutes
829376dd,12,reiði,anger,work,0,N,No,0-15 minutes
829376dd,39,árangur,success,none,0,N,No,0-15 minutes
829376dd,27,hurð,door,moon,0,N,No,0-15 minutes
829376dd,21,heyra,hear,happy,0,N,No,0-15 minutes
829376dd,40,skap,mood,none,1,P,No,0-15 minutes
829376dd,23,vita,know,know,1,P,No,0-15 minutes
829376dd,10,ást,love,love,1,P,No,0-15 minutes
829376dd,6,vor,spring,walk,1,P,No,0-15 minutes
829376dd,35,sársauki,pain,,1,P,No,0-15 minutes
829376dd,17,borða,eat,silence,1,P,No,0-15 minutes
829376dd,29,mynd,picture,mood,1,P,No,0-15 minutes
829376dd,3,gleði,joy,none,1,P,No,0-15 minutes
829376dd,34,rödd,voice,none,1,P,No,0-15 minutes
829376dd,20,sjá,see,sea,1,P,No,0-15 minutes
829376dd,30,þögn,silence,silence,1,P,No,0-15 minutes
829376dd,38,verkefni,project,run,1,P,No,0-15 minutes
829376dd,9,haf,sea,,1,P,No,0-15 minutes
829376dd,2,eldur,fire,fire,1,P,No,0-15 minutes
829376dd,19,ganga,walk,,1,P,No,0-15 minutes
829376dd,33,ferð,trip,trip,1,P,No,0-15 minutes
829376dd,18,hlaupa,run,laugh,1,P,No,0-15 minutes
829376dd,15,hlæja,laugh,walk,1,P,No,0-15 minutes
829376dd,22,hugsa,think,eat,1,P,No,0-15 minutes
829376dd,13,synda,swim,swim,1,P,No,0-15 minutes
