id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
84a19300,27,hurð,door,door,0,P,No,16-45 minutes
84a19300,5,hljóð,sound,sound,0,P,No,16-45 minutes
84a19300,28,gluggi,window,window,0,P,No,16-45 minutes
84a19300,37,fjöldi,number,none,0,P,No,16-45 minutes
84a19300,11,friður,peace,peace,0,P,No,16-45 minutes
84a19300,3,gleði,joy,joy,0,P,No,16-45 minutes
84a19300,18,hlaupa,run,run,0,P,No,16-45 minutes
84a19300,32,safn,museum,museum,0,P,No,16-45 minutes
84a19300,33,ferð,trip,trip,0,P,No,16-45 minutes
84a19300,15,hlæja,laugh,laugh,0,P,No,16-45 minutes
84a19300,35,sársauki,pain,pain,0,P,No,16-45 minutes
84a19300,4,draumur,dream,dreams,0,P,No,16-45 minutes
84a19300,16,gráta,cry,cry,0,P,No,16-45 minutes
84a19300,20,sjá,see,see,0,P,No,16-45 minutes
84a19300,40,skap,mood,museum,0,P,No,16-45 minutes
84a19300,36,hreyfa,move,move,0,P,No,16-45 minutes
84a19300,9,haf,sea,sea,0,P,No,16-45 minutes
84a19300,29,mynd,picture,picture,0,P,No,16-45 minutes
84a19300,24,framkvæmt,implementation,implementation,0,P,No,16-45 minutes
84a19300,2,eldur,fire,fire,0,P,No,16-45 minutes
84a19300,23,vita,know,know,1,N,No,16-45 minutes
84a19300,19,ganga,walk,walk,1,N,No,16-45 minutes
84a19300,26,borg,city,city,1,N,No,16-45 minutes
84a19300,10,ást,love,love,1,N,No,16-45 minutes
84a19300,7,haust,autumn,autumn,1,N,No,16-45 minutes
84a19300,12,reiði,anger,anger,1,N,No,16-45 minutes
84a19300,31,heppinn,lucky,lucky,1,N,No,16-45 minutes
84a19300,17,borða,eat,eat,1,N,No,16-45 minutes
84a19300,34,rödd,voice,voice,1,N,No,16-45 minutes
84a19300,30,þögn,silence,none,1,N,No,16-45 minutes
84a19300,13,synda,swim,swim,1,N,No,16-45 minutes
84a19300,25,forystumaður,leader,leader,1,N,No,16-45 minutes
84a19300,14,vinna,work,work,1,N,No,16-45 minutes
84a19300,39,árangur,success,success,1,N,No,16-45 minutes
84a19300,22,hugsa,think,think,1,N,No,16-45 minutes
84a19300,21,heyra,hear,hear,1,N,No,16-45 minutes
84a19300,6,vor,spring,spring,1,N,No,16-45 minutes
84a19300,1,fjall,mountain,mountain,1,N,No,16-45 minutes
84a19300,38,verkefni,project,success,1,N,No,16-45 minutes
84a19300,8,tungl,moon,moon,1,N,No,16-45 minutes
