id,word_id,ice,eng,answ_1,answ_2
86f5d016,1,framkvæmd,implementation ,1.0,
86f5d016,2,neysla,consumption,,16
86f5d016,3,forystumaður,leader,,17
86f5d016,4,skynjun,perception,2.0,
86f5d016,5,viðhorf,attitude,3.0,
86f5d016,6,ávinningur,benefit,,6
86f5d016,7,auðmýkt,humility,,25
86f5d016,8,yfirvöld,authorities,,4
86f5d016,9,geðshræring,emotion,,18
86f5d016,10,ábyrgð,responsibility,4.0,
86f5d016,11,siðferði,ethics,5.0,
86f5d016,12,hugleiðing,meditation,6.0,
86f5d016,13,forsendur,assumptions,,12
86f5d016,14,viðnám,resistance,7.0,
86f5d016,15,yfirborð,surface,8.0,
86f5d016,16,vitund,awareness,9.0,
86f5d016,17,takmörk,limits,,
86f5d016,18,hugrekki,courage,,11
86f5d016,19,tilfinning,feeling,10.0,
86f5d016,20,örvænting,despair,,13
86f5d016,21,framfarir,progress,11.0,
86f5d016,22,endurreisn,reconstruction,12.0,
86f5d016,23,áhrif,influence,,9
86f5d016,24,einföldun,simplification,,14
86f5d016,25,umbreyting,transformation,,22
86f5d016,26,rökfræði,logic,13.0,
86f5d016,27,þátttaka,participation,,
86f5d016,28,áskorun,challenge,14.0,
86f5d016,29,lausn,solution,,8
86f5d016,30,sambúð,coexistence,15.0,
86f5d016,31,miðlun,mediation,,3
86f5d016,32,hlutverk,function,16.0,
86f5d016,33,viðbrögð,reactions,17.0,
86f5d016,34,siðspilling,corruption,,15
86f5d016,35,arfleifð,heritage,,2
86f5d016,36,markmið,objective,,19
86f5d016,37,áhrifaríkur,influential,18.0,
86f5d016,38,réttlæti,justice,19.0,
86f5d016,39,hvatning,motivation,20.0,
86f5d016,40,samkennd,empathy,21.0,
86f5d016,41,úlfaldi,camel,,5
86f5d016,42,tungl,moon,,21
86f5d016,43,logi,flame,22.0,
86f5d016,44,bros,smile,,20
86f5d016,45,hákarl,shark,,7
86f5d016,46,vindlingur,cigar,23.0,
86f5d016,47,sími,phone,24.0,
86f5d016,48,sauðfé,sheep,,24
86f5d016,49,skammbyssa,pistol,,10
86f5d016,50,ljósmynd,photo,,1
86f5d016,51,margísla,daisy,25.0,
86f5d016,52,veski,purse,,23
