id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
884410bf,32,safn,museum,,0,N,No,More than 45 minutes
884410bf,5,hljóð,sound,,0,N,No,More than 45 minutes
884410bf,4,draumur,dream,,0,N,No,More than 45 minutes
884410bf,33,ferð,trip,,0,N,No,More than 45 minutes
884410bf,20,sjá,see,,0,N,No,More than 45 minutes
884410bf,12,reiði,anger,,0,N,No,More than 45 minutes
884410bf,25,forystumaður,leader,,0,N,No,More than 45 minutes
884410bf,38,verkefni,project,,0,N,No,More than 45 minutes
884410bf,15,hlæja,laugh,,0,N,No,More than 45 minutes
884410bf,9,haf,sea,,0,N,No,More than 45 minutes
884410bf,36,hreyfa,move,,0,N,No,More than 45 minutes
884410bf,21,heyra,hear,,0,N,No,More than 45 minutes
884410bf,16,gráta,cry,,0,N,No,More than 45 minutes
884410bf,35,sársauki,pain,,0,N,No,More than 45 minutes
884410bf,8,tungl,moon,,0,N,No,More than 45 minutes
884410bf,37,fjöldi,number,,0,N,No,More than 45 minutes
884410bf,19,ganga,walk,,0,N,No,More than 45 minutes
884410bf,22,hugsa,think,,0,N,No,More than 45 minutes
884410bf,3,gleði,joy,,0,N,No,More than 45 minutes
884410bf,30,þögn,silence,,0,N,No,More than 45 minutes
884410bf,31,heppinn,lucky,,1,P,No,More than 45 minutes
884410bf,10,ást,love,,1,P,No,More than 45 minutes
884410bf,29,mynd,picture,,1,P,No,More than 45 minutes
884410bf,24,framkvæmt,implementation,,1,P,No,More than 45 minutes
884410bf,28,gluggi,window,,1,P,No,More than 45 minutes
884410bf,6,vor,spring,,1,P,No,More than 45 minutes
884410bf,34,rödd,voice,,1,P,No,More than 45 minutes
884410bf,11,friður,peace,,1,P,No,More than 45 minutes
884410bf,2,eldur,fire,,1,P,No,More than 45 minutes
884410bf,39,árangur,success,,1,P,No,More than 45 minutes
884410bf,40,skap,mood,,1,P,No,More than 45 minutes
884410bf,26,borg,city,,1,P,No,More than 45 minutes
884410bf,1,fjall,mountain,,1,P,No,More than 45 minutes
884410bf,23,vita,know,,1,P,No,More than 45 minutes
884410bf,14,vinna,work,,1,P,No,More than 45 minutes
884410bf,18,hlaupa,run,,1,P,No,More than 45 minutes
884410bf,17,borða,eat,,1,P,No,More than 45 minutes
884410bf,7,haust,autumn,,1,P,No,More than 45 minutes
884410bf,13,synda,swim,,1,P,No,More than 45 minutes
884410bf,27,hurð,door,,1,P,No,More than 45 minutes
