id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
89f0c044,38,verkefni,project,none,0,N,No,More than 45 minutes
89f0c044,37,fjöldi,number,none,0,N,No,More than 45 minutes
89f0c044,25,forystumaður,leader,none,0,N,No,More than 45 minutes
89f0c044,33,ferð,trip,none,0,N,No,More than 45 minutes
89f0c044,27,hurð,door,none,0,N,No,More than 45 minutes
89f0c044,16,gráta,cry,none,0,N,No,More than 45 minutes
89f0c044,39,árangur,success,none,0,N,No,More than 45 minutes
89f0c044,14,vinna,work,none,0,N,No,More than 45 minutes
89f0c044,28,gluggi,window,none,0,N,No,More than 45 minutes
89f0c044,26,borg,city,none,0,N,No,More than 45 minutes
89f0c044,30,þögn,silence,none,0,N,No,More than 45 minutes
89f0c044,17,borða,eat,none,0,N,No,More than 45 minutes
89f0c044,40,skap,mood,none,0,N,No,More than 45 minutes
89f0c044,6,vor,spring,none,0,N,No,More than 45 minutes
89f0c044,11,friður,peace,none,0,N,No,More than 45 minutes
89f0c044,1,fjall,mountain,none,0,N,No,More than 45 minutes
89f0c044,7,haust,autumn,none,0,N,No,More than 45 minutes
89f0c044,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
89f0c044,36,hreyfa,move,none,0,N,No,More than 45 minutes
89f0c044,10,ást,love,none,0,N,No,More than 45 minutes
89f0c044,21,heyra,hear,,1,P,No,More than 45 minutes
89f0c044,29,mynd,picture,,1,P,No,More than 45 minutes
89f0c044,15,hlæja,laugh,,1,P,No,More than 45 minutes
89f0c044,5,hljóð,sound,,1,P,No,More than 45 minutes
89f0c044,13,synda,swim,,1,P,No,More than 45 minutes
89f0c044,9,haf,sea,,1,P,No,More than 45 minutes
89f0c044,18,hlaupa,run,,1,P,No,More than 45 minutes
89f0c044,34,rödd,voice,,1,P,No,More than 45 minutes
89f0c044,8,tungl,moon,,1,P,No,More than 45 minutes
89f0c044,35,sársauki,pain,,1,P,No,More than 45 minutes
89f0c044,32,safn,museum,,1,P,No,More than 45 minutes
89f0c044,12,reiði,anger,,1,P,No,More than 45 minutes
89f0c044,4,draumur,dream,,1,P,No,More than 45 minutes
89f0c044,20,sjá,see,,1,P,No,More than 45 minutes
89f0c044,2,eldur,fire,,1,P,No,More than 45 minutes
89f0c044,3,gleði,joy,,1,P,No,More than 45 minutes
89f0c044,19,ganga,walk,,1,P,No,More than 45 minutes
89f0c044,22,hugsa,think,,1,P,No,More than 45 minutes
89f0c044,31,heppinn,lucky,,1,P,No,More than 45 minutes
89f0c044,23,vita,know,,1,P,No,More than 45 minutes
