id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
8eeeea92,38,verkefni,project,process,0,N,No,More than 45 minutes
8eeeea92,39,árangur,success,success,0,N,No,More than 45 minutes
8eeeea92,34,rödd,voice,voice,0,N,No,More than 45 minutes
8eeeea92,37,fjöldi,number,number,0,N,No,More than 45 minutes
8eeeea92,32,safn,museum,museum,0,N,No,More than 45 minutes
8eeeea92,20,sjá,see,see,0,N,No,More than 45 minutes
8eeeea92,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
8eeeea92,7,haust,autumn,autumn,0,N,No,More than 45 minutes
8eeeea92,30,þögn,silence,none,0,N,No,More than 45 minutes
8eeeea92,25,forystumaður,leader,none,0,N,No,More than 45 minutes
8eeeea92,23,vita,know,know,0,N,No,More than 45 minutes
8eeeea92,19,ganga,walk,none,0,N,No,More than 45 minutes
8eeeea92,8,tungl,moon,run,0,N,No,More than 45 minutes
8eeeea92,35,sársauki,pain,none,0,N,No,More than 45 minutes
8eeeea92,18,hlaupa,run,none,0,N,No,More than 45 minutes
8eeeea92,14,vinna,work,walk,0,N,No,More than 45 minutes
8eeeea92,33,ferð,trip,trip,0,N,No,More than 45 minutes
8eeeea92,27,hurð,door,door,0,N,No,More than 45 minutes
8eeeea92,21,heyra,hear,none,0,N,No,More than 45 minutes
8eeeea92,31,heppinn,lucky,none,0,N,No,More than 45 minutes
8eeeea92,10,ást,love,love,1,P,No,More than 45 minutes
8eeeea92,2,eldur,fire,fire,1,P,No,More than 45 minutes
8eeeea92,28,gluggi,window,none,1,P,No,More than 45 minutes
8eeeea92,26,borg,city,city,1,P,No,More than 45 minutes
8eeeea92,4,draumur,dream,none,1,P,No,More than 45 minutes
8eeeea92,6,vor,spring,spring,1,P,No,More than 45 minutes
8eeeea92,22,hugsa,think,none,1,P,No,More than 45 minutes
8eeeea92,15,hlæja,laugh,none,1,P,No,More than 45 minutes
8eeeea92,11,friður,peace,,1,P,No,More than 45 minutes
8eeeea92,13,synda,swim,swim,1,P,No,More than 45 minutes
8eeeea92,12,reiði,anger,none,1,P,No,More than 45 minutes
8eeeea92,9,haf,sea,sea,1,P,No,More than 45 minutes
8eeeea92,40,skap,mood,mood,1,P,No,More than 45 minutes
8eeeea92,16,gráta,cry,cry,1,P,No,More than 45 minutes
8eeeea92,3,gleði,joy,none,1,P,No,More than 45 minutes
8eeeea92,17,borða,eat,none,1,P,No,More than 45 minutes
8eeeea92,29,mynd,picture,picture,1,P,No,More than 45 minutes
8eeeea92,1,fjall,mountain,mountain,1,P,No,More than 45 minutes
8eeeea92,36,hreyfa,move,none,1,P,No,More than 45 minutes
8eeeea92,5,hljóð,sound,none,1,P,No,More than 45 minutes
