id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
8f19053c,25,forystumaður,leader,leader,0,P,No,0-15 minutes
8f19053c,14,vinna,work,work,0,P,No,0-15 minutes
8f19053c,36,hreyfa,move,move,0,P,No,0-15 minutes
8f19053c,34,rödd,voice,voice,0,P,No,0-15 minutes
8f19053c,22,hugsa,think,none,0,P,No,0-15 minutes
8f19053c,28,gluggi,window,window,0,P,No,0-15 minutes
8f19053c,10,ást,love,love,0,P,No,0-15 minutes
8f19053c,35,sársauki,pain,hurt,0,P,No,0-15 minutes
8f19053c,6,vor,spring,spring,0,P,No,0-15 minutes
8f19053c,16,gráta,cry,cry,0,P,No,0-15 minutes
8f19053c,5,hljóð,sound,sound,0,P,No,0-15 minutes
8f19053c,21,heyra,hear,hear,0,P,No,0-15 minutes
8f19053c,3,gleði,joy,joy,0,P,No,0-15 minutes
8f19053c,29,mynd,picture,none,0,P,No,0-15 minutes
8f19053c,19,ganga,walk,walk,0,P,No,0-15 minutes
8f19053c,13,synda,swim,none,0,P,No,0-15 minutes
8f19053c,37,fjöldi,number,none,0,P,No,0-15 minutes
8f19053c,27,hurð,door,door,0,P,No,0-15 minutes
8f19053c,8,tungl,moon,moon,0,P,No,0-15 minutes
8f19053c,23,vita,know,life,0,P,No,0-15 minutes
8f19053c,33,ferð,trip,trip,1,N,No,0-15 minutes
8f19053c,20,sjá,see,see,1,N,No,0-15 minutes
8f19053c,11,friður,peace,peace,1,N,No,0-15 minutes
8f19053c,2,eldur,fire,fire,1,N,No,0-15 minutes
8f19053c,15,hlæja,laugh,laugh,1,N,No,0-15 minutes
8f19053c,4,draumur,dream,dream,1,N,No,0-15 minutes
8f19053c,32,safn,museum,museum,1,N,No,0-15 minutes
8f19053c,17,borða,eat,eat,1,N,No,0-15 minutes
8f19053c,39,árangur,success,success,1,N,No,0-15 minutes
8f19053c,26,borg,city,city,1,N,No,0-15 minutes
8f19053c,31,heppinn,lucky,lucky,1,N,No,0-15 minutes
8f19053c,38,verkefni,project,project,1,N,No,0-15 minutes
8f19053c,1,fjall,mountain,mountain,1,N,No,0-15 minutes
8f19053c,12,reiði,anger,angry,1,N,No,0-15 minutes
8f19053c,7,haust,autumn,autumn,1,N,No,0-15 minutes
8f19053c,40,skap,mood,none,1,N,No,0-15 minutes
8f19053c,24,framkvæmt,implementation,implementation,1,N,No,0-15 minutes
8f19053c,18,hlaupa,run,run,1,N,No,0-15 minutes
8f19053c,9,haf,sea,sea,1,N,No,0-15 minutes
8f19053c,30,þögn,silence,silence,1,N,No,0-15 minutes
