id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
9a0372dc,24,framkvæmt,implementation,implementation,0,P,No,0-15 minutes
9a0372dc,4,draumur,dream,dream,0,P,No,0-15 minutes
9a0372dc,34,rödd,voice,voice,0,P,No,0-15 minutes
9a0372dc,17,borða,eat,eat,0,P,No,0-15 minutes
9a0372dc,37,fjöldi,number,number,0,P,No,0-15 minutes
9a0372dc,26,borg,city,city,0,P,No,0-15 minutes
9a0372dc,31,heppinn,lucky,hope,0,P,No,0-15 minutes
9a0372dc,20,sjá,see,see,0,P,No,0-15 minutes
9a0372dc,40,skap,mood,mood,0,P,No,0-15 minutes
9a0372dc,29,mynd,picture,picture,0,P,No,0-15 minutes
9a0372dc,2,eldur,fire,fire,0,P,No,0-15 minutes
9a0372dc,22,hugsa,think,think,0,P,No,0-15 minutes
9a0372dc,11,friður,peace,peace,0,P,No,0-15 minutes
9a0372dc,38,verkefni,project,project,0,P,No,0-15 minutes
9a0372dc,10,ást,love,love,0,P,No,0-15 minutes
9a0372dc,35,sársauki,pain,pain,0,P,No,0-15 minutes
9a0372dc,30,þögn,silence,silence,0,P,No,0-15 minutes
9a0372dc,12,reiði,anger,anger,0,P,No,0-15 minutes
9a0372dc,25,forystumaður,leader,leader,0,P,No,0-15 minutes
9a0372dc,8,tungl,moon,moon,0,P,No,0-15 minutes
9a0372dc,27,hurð,door,door,1,N,No,0-15 minutes
9a0372dc,36,hreyfa,move,move,1,N,No,0-15 minutes
9a0372dc,5,hljóð,sound,sound,1,N,No,0-15 minutes
9a0372dc,39,árangur,success,success,1,N,No,0-15 minutes
9a0372dc,16,gráta,cry,jsp,1,N,No,0-15 minutes
9a0372dc,7,haust,autumn,autumn,1,N,No,0-15 minutes
9a0372dc,14,vinna,work,work,1,N,No,0-15 minutes
9a0372dc,32,safn,museum,museum,1,N,No,0-15 minutes
9a0372dc,9,haf,sea,sea,1,N,No,0-15 minutes
9a0372dc,3,gleði,joy,joy,1,N,No,0-15 minutes
9a0372dc,33,ferð,trip,trip,1,N,No,0-15 minutes
9a0372dc,6,vor,spring,spring,1,N,No,0-15 minutes
9a0372dc,23,vita,know,know,1,N,No,0-15 minutes
9a0372dc,13,synda,swim,none,1,N,No,0-15 minutes
9a0372dc,19,ganga,walk,walk,1,N,No,0-15 minutes
9a0372dc,28,gluggi,window,window,1,N,No,0-15 minutes
9a0372dc,15,hlæja,laugh,smile,1,N,No,0-15 minutes
9a0372dc,1,fjall,mountain,moutain,1,N,No,0-15 minutes
9a0372dc,21,heyra,hear,jsp,1,N,No,0-15 minutes
9a0372dc,18,hlaupa,run,run,1,N,No,0-15 minutes
