id,word_id,ice,eng,answ_1,answ_2
9ebc2f12,1,fjall,mountain,,
9ebc2f12,2,eldur,fire,,
9ebc2f12,3,gleði,joy,,
9ebc2f12,4,draumur,dream,,
9ebc2f12,5,hljóð,sound,n,1.0
9ebc2f12,6,vor,spring,,
9ebc2f12,7,haust,autumn,k,1.0
9ebc2f12,8,tungl,moon,,
9ebc2f12,9,haf,sea,d,0.0
9ebc2f12,10,ást,love,,
9ebc2f12,11,friður,peace,,
9ebc2f12,12,hamingja,happiness,,
9ebc2f12,13,von,hope,a,0.0
9ebc2f12,14,reiði,anger,p,1.0
9ebc2f12,15,synda,swim,,
9ebc2f12,16,vinna,work,,
9ebc2f12,17,sofa,sleep,q,1.0
9ebc2f12,18,hlæja,laugh,,
9ebc2f12,19,gráta,cry,,
9ebc2f12,20,borða,eat,,
9ebc2f12,21,hlaupa,run,g,0.0
9ebc2f12,22,ganga,walk,,
9ebc2f12,23,sjá,see,,
9ebc2f12,24,heyra,hear,,
9ebc2f12,25,hugsa,think,,
9ebc2f12,26,vita,know,o,1.0
9ebc2f12,27,framkvæmt,implementation,,
9ebc2f12,28,neysla,consumption,,
9ebc2f12,29,forystumaður,leader,,
9ebc2f12,30,skynjun,perception,,
9ebc2f12,31,viðhorf,attitude,,
9ebc2f12,32,borg,city,f,0.0
9ebc2f12,33,hurð,door,e,0.0
9ebc2f12,34,gluggi,window,,
9ebc2f12,35,bók,book,,
9ebc2f12,36,mynd,picture,c,0.0
9ebc2f12,37,þögn,silence,b,0.0
9ebc2f12,38,heppinn,lucky,,
9ebc2f12,39,sjóður,fund,,
9ebc2f12,40,safn,museum ,,
9ebc2f12,41,ferð,trip ,,
9ebc2f12,42,rödd,voice,,
9ebc2f12,43,sársauki,pain,,
9ebc2f12,44,hreyfa,move,l,1.0
9ebc2f12,45,fjöldi,number ,,
9ebc2f12,46,samningur,agreement,,
9ebc2f12,47,verkefni,project ,,
9ebc2f12,48,árangur,success,m,1.0
9ebc2f12,49,vonbrigði,disappointment,,
9ebc2f12,50,skap,mood ,,
