id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
a38032e7,11,friður,peace,none,0,P,No,16-45 minutes
a38032e7,29,mynd,picture,none,0,P,No,16-45 minutes
a38032e7,14,vinna,work,job,0,P,No,16-45 minutes
a38032e7,23,vita,know,job,0,P,No,16-45 minutes
a38032e7,7,haust,autumn,autumn,0,P,No,16-45 minutes
a38032e7,4,draumur,dream,dream,0,P,No,16-45 minutes
a38032e7,36,hreyfa,move,none,0,P,No,16-45 minutes
a38032e7,33,ferð,trip,trip,0,P,No,16-45 minutes
a38032e7,39,árangur,success,none,0,P,No,16-45 minutes
a38032e7,25,forystumaður,leader,leader,0,P,No,16-45 minutes
a38032e7,12,reiði,anger,agressive,0,P,No,16-45 minutes
a38032e7,5,hljóð,sound,sound,0,P,No,16-45 minutes
a38032e7,31,heppinn,lucky,lucky,0,P,No,16-45 minutes
a38032e7,38,verkefni,project,none,0,P,No,16-45 minutes
a38032e7,13,synda,swim,sleep,0,P,No,16-45 minutes
a38032e7,18,hlaupa,run,none,0,P,No,16-45 minutes
a38032e7,3,gleði,joy,joy,0,P,No,16-45 minutes
a38032e7,26,borg,city,city,0,P,No,16-45 minutes
a38032e7,6,vor,spring,spring,0,P,No,16-45 minutes
a38032e7,22,hugsa,think,none,0,P,No,16-45 minutes
a38032e7,16,gráta,cry,sad,1,N,No,16-45 minutes
a38032e7,20,sjá,see,see,1,N,No,16-45 minutes
a38032e7,24,framkvæmt,implementation,implemention,1,N,No,16-45 minutes
a38032e7,1,fjall,mountain,mountain,1,N,No,16-45 minutes
a38032e7,10,ást,love,love,1,N,No,16-45 minutes
a38032e7,9,haf,sea,sea,1,N,No,16-45 minutes
a38032e7,40,skap,mood,moon,1,N,No,16-45 minutes
a38032e7,2,eldur,fire,fire,1,N,No,16-45 minutes
a38032e7,35,sársauki,pain,pain,1,N,No,16-45 minutes
a38032e7,27,hurð,door,none,1,N,No,16-45 minutes
a38032e7,30,þögn,silence,silence,1,N,No,16-45 minutes
a38032e7,37,fjöldi,number,,1,N,No,16-45 minutes
a38032e7,19,ganga,walk,walk,1,N,No,16-45 minutes
a38032e7,17,borða,eat,none,1,N,No,16-45 minutes
a38032e7,15,hlæja,laugh,none,1,N,No,16-45 minutes
a38032e7,34,rödd,voice,voice,1,N,No,16-45 minutes
a38032e7,32,safn,museum,museum,1,N,No,16-45 minutes
a38032e7,8,tungl,moon,none,1,N,No,16-45 minutes
a38032e7,28,gluggi,window,window,1,N,No,16-45 minutes
a38032e7,21,heyra,hear,hear,1,N,No,16-45 minutes
