id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
a91415cd,39,árangur,success,none,0,N,No,More than 45 minutes
a91415cd,9,haf,sea,none,0,N,No,More than 45 minutes
a91415cd,33,ferð,trip,none,0,N,No,More than 45 minutes
a91415cd,20,sjá,see,none,0,N,No,More than 45 minutes
a91415cd,30,þögn,silence,none,0,N,No,More than 45 minutes
a91415cd,2,eldur,fire,none,0,N,No,More than 45 minutes
a91415cd,17,borða,eat,none,0,N,No,More than 45 minutes
a91415cd,14,vinna,work,none,0,N,No,More than 45 minutes
a91415cd,7,haust,autumn,none,0,N,No,More than 45 minutes
a91415cd,35,sársauki,pain,none,0,N,No,More than 45 minutes
a91415cd,40,skap,mood,none,0,N,No,More than 45 minutes
a91415cd,37,fjöldi,number,none,0,N,No,More than 45 minutes
a91415cd,23,vita,know,none,0,N,No,More than 45 minutes
a91415cd,5,hljóð,sound,none,0,N,No,More than 45 minutes
a91415cd,28,gluggi,window,none,0,N,No,More than 45 minutes
a91415cd,32,safn,museum,none,0,N,No,More than 45 minutes
a91415cd,11,friður,peace,none,0,N,No,More than 45 minutes
a91415cd,16,gráta,cry,none,0,N,No,More than 45 minutes
a91415cd,12,reiði,anger,none,0,N,No,More than 45 minutes
a91415cd,27,hurð,door,none,0,N,No,More than 45 minutes
a91415cd,4,draumur,dream,,1,P,No,More than 45 minutes
a91415cd,22,hugsa,think,,1,P,No,More than 45 minutes
a91415cd,24,framkvæmt,implementation,,1,P,No,More than 45 minutes
a91415cd,26,borg,city,,1,P,No,More than 45 minutes
a91415cd,21,heyra,hear,,1,P,No,More than 45 minutes
a91415cd,38,verkefni,project,,1,P,No,More than 45 minutes
a91415cd,29,mynd,picture,,1,P,No,More than 45 minutes
a91415cd,6,vor,spring,,1,P,No,More than 45 minutes
a91415cd,13,synda,swim,,1,P,No,More than 45 minutes
a91415cd,15,hlæja,laugh,,1,P,No,More than 45 minutes
a91415cd,19,ganga,walk,,1,P,No,More than 45 minutes
a91415cd,34,rödd,voice,,1,P,No,More than 45 minutes
a91415cd,1,fjall,mountain,,1,P,No,More than 45 minutes
a91415cd,8,tungl,moon,,1,P,No,More than 45 minutes
a91415cd,18,hlaupa,run,,1,P,No,More than 45 minutes
a91415cd,25,forystumaður,leader,,1,P,No,More than 45 minutes
a91415cd,36,hreyfa,move,,1,P,No,More than 45 minutes
a91415cd,3,gleði,joy,,1,P,No,More than 45 minutes
a91415cd,31,heppinn,lucky,,1,P,No,More than 45 minutes
a91415cd,10,ást,love,,1,P,No,More than 45 minutes
