id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
a92f73ed,24,framkvæmt,implementation,none,0,P,No,16-45 minutes
a92f73ed,17,borða,eat,none,0,P,No,16-45 minutes
a92f73ed,18,hlaupa,run,none,0,P,No,16-45 minutes
a92f73ed,6,vor,spring,none,0,P,No,16-45 minutes
a92f73ed,15,hlæja,laugh,none,0,P,No,16-45 minutes
a92f73ed,19,ganga,walk,none,0,P,No,16-45 minutes
a92f73ed,8,tungl,moon,none,0,P,No,16-45 minutes
a92f73ed,1,fjall,mountain,none,0,P,No,16-45 minutes
a92f73ed,9,haf,sea,none,0,P,No,16-45 minutes
a92f73ed,14,vinna,work,none,0,P,No,16-45 minutes
a92f73ed,28,gluggi,window,none,0,P,No,16-45 minutes
a92f73ed,13,synda,swim,none,0,P,No,16-45 minutes
a92f73ed,32,safn,museum,none,0,P,No,16-45 minutes
a92f73ed,36,hreyfa,move,none,0,P,No,16-45 minutes
a92f73ed,35,sársauki,pain,none,0,P,No,16-45 minutes
a92f73ed,29,mynd,picture,none,0,P,No,16-45 minutes
a92f73ed,22,hugsa,think,none,0,P,No,16-45 minutes
a92f73ed,20,sjá,see,none,0,P,No,16-45 minutes
a92f73ed,11,friður,peace,none,0,P,No,16-45 minutes
a92f73ed,39,árangur,success,none,0,P,No,16-45 minutes
a92f73ed,31,heppinn,lucky,,1,N,No,16-45 minutes
a92f73ed,38,verkefni,project,,1,N,No,16-45 minutes
a92f73ed,5,hljóð,sound,,1,N,No,16-45 minutes
a92f73ed,40,skap,mood,,1,N,No,16-45 minutes
a92f73ed,26,borg,city,,1,N,No,16-45 minutes
a92f73ed,3,gleði,joy,,1,N,No,16-45 minutes
a92f73ed,25,forystumaður,leader,,1,N,No,16-45 minutes
a92f73ed,30,þögn,silence,,1,N,No,16-45 minutes
a92f73ed,12,reiði,anger,,1,N,No,16-45 minutes
a92f73ed,21,heyra,hear,,1,N,No,16-45 minutes
a92f73ed,10,ást,love,,1,N,No,16-45 minutes
a92f73ed,27,hurð,door,,1,N,No,16-45 minutes
a92f73ed,37,fjöldi,number,,1,N,No,16-45 minutes
a92f73ed,33,ferð,trip,,1,N,No,16-45 minutes
a92f73ed,7,haust,autumn,,1,N,No,16-45 minutes
a92f73ed,4,draumur,dream,,1,N,No,16-45 minutes
a92f73ed,16,gráta,cry,,1,N,No,16-45 minutes
a92f73ed,2,eldur,fire,,1,N,No,16-45 minutes
a92f73ed,23,vita,know,,1,N,No,16-45 minutes
a92f73ed,34,rödd,voice,,1,N,No,16-45 minutes
