id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
ae0586d3,20,sjá,see,none,0,N,No,More than 45 minutes
ae0586d3,14,vinna,work,none,0,N,No,More than 45 minutes
ae0586d3,21,heyra,hear,none,0,N,No,More than 45 minutes
ae0586d3,10,ást,love,none,0,N,No,More than 45 minutes
ae0586d3,32,safn,museum,none,0,N,No,More than 45 minutes
ae0586d3,8,tungl,moon,none,0,N,No,More than 45 minutes
ae0586d3,37,fjöldi,number,none,0,N,No,More than 45 minutes
ae0586d3,25,forystumaður,leader,none,0,N,No,More than 45 minutes
ae0586d3,22,hugsa,think,none,0,N,No,More than 45 minutes
ae0586d3,18,hlaupa,run,none,0,N,No,More than 45 minutes
ae0586d3,3,gleði,joy,none,0,N,No,More than 45 minutes
ae0586d3,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
ae0586d3,11,friður,peace,none,0,N,No,More than 45 minutes
ae0586d3,39,árangur,success,none,0,N,No,More than 45 minutes
ae0586d3,30,þögn,silence,none,0,N,No,More than 45 minutes
ae0586d3,1,fjall,mountain,none,0,N,No,More than 45 minutes
ae0586d3,7,haust,autumn,none,0,N,No,More than 45 minutes
ae0586d3,29,mynd,picture,none,0,N,No,More than 45 minutes
ae0586d3,6,vor,spring,none,0,N,No,More than 45 minutes
ae0586d3,9,haf,sea,none,0,N,No,More than 45 minutes
ae0586d3,4,draumur,dream,,1,P,No,More than 45 minutes
ae0586d3,27,hurð,door,,1,P,No,More than 45 minutes
ae0586d3,31,heppinn,lucky,,1,P,No,More than 45 minutes
ae0586d3,12,reiði,anger,,1,P,No,More than 45 minutes
ae0586d3,40,skap,mood,,1,P,No,More than 45 minutes
ae0586d3,19,ganga,walk,,1,P,No,More than 45 minutes
ae0586d3,26,borg,city,,1,P,No,More than 45 minutes
ae0586d3,28,gluggi,window,,1,P,No,More than 45 minutes
ae0586d3,33,ferð,trip,,1,P,No,More than 45 minutes
ae0586d3,15,hlæja,laugh,,1,P,No,More than 45 minutes
ae0586d3,16,gráta,cry,,1,P,No,More than 45 minutes
ae0586d3,34,rödd,voice,,1,P,No,More than 45 minutes
ae0586d3,13,synda,swim,,1,P,No,More than 45 minutes
ae0586d3,23,vita,know,,1,P,No,More than 45 minutes
ae0586d3,38,verkefni,project,,1,P,No,More than 45 minutes
ae0586d3,36,hreyfa,move,,1,P,No,More than 45 minutes
ae0586d3,35,sársauki,pain,,1,P,No,More than 45 minutes
ae0586d3,5,hljóð,sound,,1,P,No,More than 45 minutes
ae0586d3,2,eldur,fire,,1,P,No,More than 45 minutes
ae0586d3,17,borða,eat,,1,P,No,More than 45 minutes
