id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
ae9e001e,4,draumur,dream,dreaming,0,P,No,0-15 minutes
ae9e001e,16,gráta,cry,cry,0,P,No,0-15 minutes
ae9e001e,15,hlæja,laugh,laugh,0,P,No,0-15 minutes
ae9e001e,30,þögn,silence,none,0,P,No,0-15 minutes
ae9e001e,22,hugsa,think,hunger,0,P,No,0-15 minutes
ae9e001e,11,friður,peace,none,0,P,No,0-15 minutes
ae9e001e,35,sársauki,pain,none,0,P,No,0-15 minutes
ae9e001e,14,vinna,work,work,0,P,No,0-15 minutes
ae9e001e,25,forystumaður,leader,none,0,P,No,0-15 minutes
ae9e001e,20,sjá,see,see,0,P,No,0-15 minutes
ae9e001e,24,framkvæmt,implementation,none,0,P,No,0-15 minutes
ae9e001e,38,verkefni,project,travel,0,P,No,0-15 minutes
ae9e001e,5,hljóð,sound,none,0,P,No,0-15 minutes
ae9e001e,2,eldur,fire,none,0,P,No,0-15 minutes
ae9e001e,40,skap,mood,trip,0,P,No,0-15 minutes
ae9e001e,32,safn,museum,none,0,P,No,0-15 minutes
ae9e001e,28,gluggi,window,drink,0,P,No,0-15 minutes
ae9e001e,10,ást,love,ask,0,P,No,0-15 minutes
ae9e001e,36,hreyfa,move,none,0,P,No,0-15 minutes
ae9e001e,12,reiði,anger,none,0,P,No,0-15 minutes
ae9e001e,6,vor,spring,none,1,N,No,0-15 minutes
ae9e001e,21,heyra,hear,hearing,1,N,No,0-15 minutes
ae9e001e,26,borg,city,city,1,N,No,0-15 minutes
ae9e001e,1,fjall,mountain,mountain,1,N,No,0-15 minutes
ae9e001e,9,haf,sea,sea,1,N,No,0-15 minutes
ae9e001e,33,ferð,trip,trip,1,N,No,0-15 minutes
ae9e001e,18,hlaupa,run,running,1,N,No,0-15 minutes
ae9e001e,34,rödd,voice,red,1,N,No,0-15 minutes
ae9e001e,17,borða,eat,none,1,N,No,0-15 minutes
ae9e001e,31,heppinn,lucky,none,1,N,No,0-15 minutes
ae9e001e,7,haust,autumn,house,1,N,No,0-15 minutes
ae9e001e,8,tungl,moon,none,1,N,No,0-15 minutes
ae9e001e,27,hurð,door,none,1,N,No,0-15 minutes
ae9e001e,39,árangur,success,none,1,N,No,0-15 minutes
ae9e001e,13,synda,swim,none,1,N,No,0-15 minutes
ae9e001e,29,mynd,picture,none,1,N,No,0-15 minutes
ae9e001e,23,vita,know,life,1,N,No,0-15 minutes
ae9e001e,3,gleði,joy,none,1,N,No,0-15 minutes
ae9e001e,19,ganga,walk,none,1,N,No,0-15 minutes
ae9e001e,37,fjöldi,number,listening,1,N,No,0-15 minutes
