id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
aeb1725b,34,rödd,voice,none,0,N,No,More than 45 minutes
aeb1725b,16,gráta,cry,none,0,N,No,More than 45 minutes
aeb1725b,5,hljóð,sound,none,0,N,No,More than 45 minutes
aeb1725b,30,þögn,silence,none,0,N,No,More than 45 minutes
aeb1725b,14,vinna,work,none,0,N,No,More than 45 minutes
aeb1725b,25,forystumaður,leader,none,0,N,No,More than 45 minutes
aeb1725b,22,hugsa,think,none,0,N,No,More than 45 minutes
aeb1725b,23,vita,know,none,0,N,No,More than 45 minutes
aeb1725b,40,skap,mood,none,0,N,No,More than 45 minutes
aeb1725b,36,hreyfa,move,none,0,N,No,More than 45 minutes
aeb1725b,33,ferð,trip,none,0,N,No,More than 45 minutes
aeb1725b,1,fjall,mountain,none,0,N,No,More than 45 minutes
aeb1725b,17,borða,eat,none,0,N,No,More than 45 minutes
aeb1725b,39,árangur,success,none,0,N,No,More than 45 minutes
aeb1725b,6,vor,spring,none,0,N,No,More than 45 minutes
aeb1725b,3,gleði,joy,none,0,N,No,More than 45 minutes
aeb1725b,9,haf,sea,none,0,N,No,More than 45 minutes
aeb1725b,21,heyra,hear,none,0,N,No,More than 45 minutes
aeb1725b,13,synda,swim,none,0,N,No,More than 45 minutes
aeb1725b,11,friður,peace,none,0,N,No,More than 45 minutes
aeb1725b,7,haust,autumn,,1,P,No,More than 45 minutes
aeb1725b,18,hlaupa,run,,1,P,No,More than 45 minutes
aeb1725b,4,draumur,dream,,1,P,No,More than 45 minutes
aeb1725b,10,ást,love,,1,P,No,More than 45 minutes
aeb1725b,31,heppinn,lucky,,1,P,No,More than 45 minutes
aeb1725b,8,tungl,moon,,1,P,No,More than 45 minutes
aeb1725b,28,gluggi,window,,1,P,No,More than 45 minutes
aeb1725b,29,mynd,picture,,1,P,No,More than 45 minutes
aeb1725b,37,fjöldi,number,,1,P,No,More than 45 minutes
aeb1725b,20,sjá,see,,1,P,No,More than 45 minutes
aeb1725b,27,hurð,door,,1,P,No,More than 45 minutes
aeb1725b,32,safn,museum,,1,P,No,More than 45 minutes
aeb1725b,26,borg,city,,1,P,No,More than 45 minutes
aeb1725b,12,reiði,anger,,1,P,No,More than 45 minutes
aeb1725b,2,eldur,fire,,1,P,No,More than 45 minutes
aeb1725b,15,hlæja,laugh,,1,P,No,More than 45 minutes
aeb1725b,24,framkvæmt,implementation,,1,P,No,More than 45 minutes
aeb1725b,35,sársauki,pain,,1,P,No,More than 45 minutes
aeb1725b,19,ganga,walk,,1,P,No,More than 45 minutes
aeb1725b,38,verkefni,project,,1,P,No,More than 45 minutes
