id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
b52e1ecc,23,vita,know,none,0,N,No,More than 45 minutes
b52e1ecc,30,þögn,silence,none,0,N,No,More than 45 minutes
b52e1ecc,36,hreyfa,move,none,0,N,No,More than 45 minutes
b52e1ecc,34,rödd,voice,none,0,N,No,More than 45 minutes
b52e1ecc,2,eldur,fire,none,0,N,No,More than 45 minutes
b52e1ecc,3,gleði,joy,none,0,N,No,More than 45 minutes
b52e1ecc,29,mynd,picture,none,0,N,No,More than 45 minutes
b52e1ecc,31,heppinn,lucky,none,0,N,No,More than 45 minutes
b52e1ecc,9,haf,sea,none,0,N,No,More than 45 minutes
b52e1ecc,7,haust,autumn,none,0,N,No,More than 45 minutes
b52e1ecc,33,ferð,trip,none,0,N,No,More than 45 minutes
b52e1ecc,22,hugsa,think,none,0,N,No,More than 45 minutes
b52e1ecc,40,skap,mood,none,0,N,No,More than 45 minutes
b52e1ecc,16,gráta,cry,none,0,N,No,More than 45 minutes
b52e1ecc,27,hurð,door,none,0,N,No,More than 45 minutes
b52e1ecc,19,ganga,walk,none,0,N,No,More than 45 minutes
b52e1ecc,37,fjöldi,number,none,0,N,No,More than 45 minutes
b52e1ecc,28,gluggi,window,none,0,N,No,More than 45 minutes
b52e1ecc,1,fjall,mountain,none,0,N,No,More than 45 minutes
b52e1ecc,38,verkefni,project,none,0,N,No,More than 45 minutes
b52e1ecc,5,hljóð,sound,,1,P,No,More than 45 minutes
b52e1ecc,18,hlaupa,run,,1,P,No,More than 45 minutes
b52e1ecc,8,tungl,moon,,1,P,No,More than 45 minutes
b52e1ecc,10,ást,love,,1,P,No,More than 45 minutes
b52e1ecc,21,heyra,hear,,1,P,No,More than 45 minutes
b52e1ecc,17,borða,eat,,1,P,No,More than 45 minutes
b52e1ecc,32,safn,museum,,1,P,No,More than 45 minutes
b52e1ecc,14,vinna,work,,1,P,No,More than 45 minutes
b52e1ecc,24,framkvæmt,implementation,,1,P,No,More than 45 minutes
b52e1ecc,11,friður,peace,,1,P,No,More than 45 minutes
b52e1ecc,26,borg,city,,1,P,No,More than 45 minutes
b52e1ecc,12,reiði,anger,,1,P,No,More than 45 minutes
b52e1ecc,13,synda,swim,,1,P,No,More than 45 minutes
b52e1ecc,4,draumur,dream,,1,P,No,More than 45 minutes
b52e1ecc,35,sársauki,pain,,1,P,No,More than 45 minutes
b52e1ecc,20,sjá,see,,1,P,No,More than 45 minutes
b52e1ecc,6,vor,spring,,1,P,No,More than 45 minutes
b52e1ecc,15,hlæja,laugh,,1,P,No,More than 45 minutes
b52e1ecc,39,árangur,success,,1,P,No,More than 45 minutes
b52e1ecc,25,forystumaður,leader,,1,P,No,More than 45 minutes
