id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
b824bad3,28,gluggi,window,none,0,N,No,More than 45 minutes
b824bad3,2,eldur,fire,none,0,N,No,More than 45 minutes
b824bad3,33,ferð,trip,none,0,N,No,More than 45 minutes
b824bad3,35,sársauki,pain,none,0,N,No,More than 45 minutes
b824bad3,36,hreyfa,move,none,0,N,No,More than 45 minutes
b824bad3,31,heppinn,lucky,none,0,N,No,More than 45 minutes
b824bad3,38,verkefni,project,none,0,N,No,More than 45 minutes
b824bad3,22,hugsa,think,none,0,N,No,More than 45 minutes
b824bad3,3,gleði,joy,none,0,N,No,More than 45 minutes
b824bad3,18,hlaupa,run,none,0,N,No,More than 45 minutes
b824bad3,32,safn,museum,none,0,N,No,More than 45 minutes
b824bad3,37,fjöldi,number,none,0,N,No,More than 45 minutes
b824bad3,6,vor,spring,none,0,N,No,More than 45 minutes
b824bad3,20,sjá,see,none,0,N,No,More than 45 minutes
b824bad3,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
b824bad3,29,mynd,picture,none,0,N,No,More than 45 minutes
b824bad3,16,gráta,cry,none,0,N,No,More than 45 minutes
b824bad3,27,hurð,door,none,0,N,No,More than 45 minutes
b824bad3,11,friður,peace,none,0,N,No,More than 45 minutes
b824bad3,9,haf,sea,none,0,N,No,More than 45 minutes
b824bad3,40,skap,mood,,1,P,No,More than 45 minutes
b824bad3,30,þögn,silence,,1,P,No,More than 45 minutes
b824bad3,19,ganga,walk,,1,P,No,More than 45 minutes
b824bad3,26,borg,city,,1,P,No,More than 45 minutes
b824bad3,7,haust,autumn,,1,P,No,More than 45 minutes
b824bad3,39,árangur,success,,1,P,No,More than 45 minutes
b824bad3,1,fjall,mountain,,1,P,No,More than 45 minutes
b824bad3,34,rödd,voice,,1,P,No,More than 45 minutes
b824bad3,13,synda,swim,,1,P,No,More than 45 minutes
b824bad3,15,hlæja,laugh,,1,P,No,More than 45 minutes
b824bad3,21,heyra,hear,,1,P,No,More than 45 minutes
b824bad3,12,reiði,anger,,1,P,No,More than 45 minutes
b824bad3,10,ást,love,,1,P,No,More than 45 minutes
b824bad3,4,draumur,dream,,1,P,No,More than 45 minutes
b824bad3,23,vita,know,,1,P,No,More than 45 minutes
b824bad3,25,forystumaður,leader,,1,P,No,More than 45 minutes
b824bad3,14,vinna,work,,1,P,No,More than 45 minutes
b824bad3,8,tungl,moon,,1,P,No,More than 45 minutes
b824bad3,17,borða,eat,,1,P,No,More than 45 minutes
b824bad3,5,hljóð,sound,,1,P,No,More than 45 minutes
