id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
bc5d0ed5,30,þögn,silence,none,0,N,No,More than 45 minutes
bc5d0ed5,33,ferð,trip,none,0,N,No,More than 45 minutes
bc5d0ed5,29,mynd,picture,none,0,N,No,More than 45 minutes
bc5d0ed5,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
bc5d0ed5,26,borg,city,none,0,N,No,More than 45 minutes
bc5d0ed5,40,skap,mood,none,0,N,No,More than 45 minutes
bc5d0ed5,15,hlæja,laugh,none,0,N,No,More than 45 minutes
bc5d0ed5,11,friður,peace,none,0,N,No,More than 45 minutes
bc5d0ed5,1,fjall,mountain,none,0,N,No,More than 45 minutes
bc5d0ed5,22,hugsa,think,none,0,N,No,More than 45 minutes
bc5d0ed5,4,draumur,dream,none,0,N,No,More than 45 minutes
bc5d0ed5,17,borða,eat,none,0,N,No,More than 45 minutes
bc5d0ed5,35,sársauki,pain,none,0,N,No,More than 45 minutes
bc5d0ed5,38,verkefni,project,none,0,N,No,More than 45 minutes
bc5d0ed5,2,eldur,fire,none,0,N,No,More than 45 minutes
bc5d0ed5,31,heppinn,lucky,none,0,N,No,More than 45 minutes
bc5d0ed5,23,vita,know,none,0,N,No,More than 45 minutes
bc5d0ed5,10,ást,love,none,0,N,No,More than 45 minutes
bc5d0ed5,14,vinna,work,none,0,N,No,More than 45 minutes
bc5d0ed5,34,rödd,voice,none,0,N,No,More than 45 minutes
bc5d0ed5,36,hreyfa,move,,1,P,No,More than 45 minutes
bc5d0ed5,5,hljóð,sound,,1,P,No,More than 45 minutes
bc5d0ed5,37,fjöldi,number,,1,P,No,More than 45 minutes
bc5d0ed5,20,sjá,see,,1,P,No,More than 45 minutes
bc5d0ed5,28,gluggi,window,,1,P,No,More than 45 minutes
bc5d0ed5,7,haust,autumn,,1,P,No,More than 45 minutes
bc5d0ed5,3,gleði,joy,,1,P,No,More than 45 minutes
bc5d0ed5,8,tungl,moon,,1,P,No,More than 45 minutes
bc5d0ed5,9,haf,sea,,1,P,No,More than 45 minutes
bc5d0ed5,32,safn,museum,,1,P,No,More than 45 minutes
bc5d0ed5,25,forystumaður,leader,,1,P,No,More than 45 minutes
bc5d0ed5,6,vor,spring,,1,P,No,More than 45 minutes
bc5d0ed5,39,árangur,success,,1,P,No,More than 45 minutes
bc5d0ed5,13,synda,swim,,1,P,No,More than 45 minutes
bc5d0ed5,16,gráta,cry,,1,P,No,More than 45 minutes
bc5d0ed5,12,reiði,anger,,1,P,No,More than 45 minutes
bc5d0ed5,27,hurð,door,,1,P,No,More than 45 minutes
bc5d0ed5,19,ganga,walk,,1,P,No,More than 45 minutes
bc5d0ed5,21,heyra,hear,,1,P,No,More than 45 minutes
bc5d0ed5,18,hlaupa,run,,1,P,No,More than 45 minutes
