id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
c7661ae0,22,hugsa,think,none,0,N,No,More than 45 minutes
c7661ae0,18,hlaupa,run,none,0,N,No,More than 45 minutes
c7661ae0,29,mynd,picture,none,0,N,No,More than 45 minutes
c7661ae0,14,vinna,work,none,0,N,No,More than 45 minutes
c7661ae0,12,reiði,anger,none,0,N,No,More than 45 minutes
c7661ae0,8,tungl,moon,none,0,N,No,More than 45 minutes
c7661ae0,21,heyra,hear,none,0,N,No,More than 45 minutes
c7661ae0,11,friður,peace,none,0,N,No,More than 45 minutes
c7661ae0,35,sársauki,pain,none,0,N,No,More than 45 minutes
c7661ae0,34,rödd,voice,none,0,N,No,More than 45 minutes
c7661ae0,10,ást,love,none,0,N,No,More than 45 minutes
c7661ae0,30,þögn,silence,none,0,N,No,More than 45 minutes
c7661ae0,39,árangur,success,none,0,N,No,More than 45 minutes
c7661ae0,13,synda,swim,none,0,N,No,More than 45 minutes
c7661ae0,32,safn,museum,none,0,N,No,More than 45 minutes
c7661ae0,37,fjöldi,number,none,0,N,No,More than 45 minutes
c7661ae0,31,heppinn,lucky,none,0,N,No,More than 45 minutes
c7661ae0,40,skap,mood,none,0,N,No,More than 45 minutes
c7661ae0,36,hreyfa,move,none,0,N,No,More than 45 minutes
c7661ae0,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
c7661ae0,28,gluggi,window,,1,P,No,More than 45 minutes
c7661ae0,17,borða,eat,,1,P,No,More than 45 minutes
c7661ae0,20,sjá,see,,1,P,No,More than 45 minutes
c7661ae0,6,vor,spring,,1,P,No,More than 45 minutes
c7661ae0,2,eldur,fire,,1,P,No,More than 45 minutes
c7661ae0,7,haust,autumn,,1,P,No,More than 45 minutes
c7661ae0,16,gráta,cry,,1,P,No,More than 45 minutes
c7661ae0,15,hlæja,laugh,,1,P,No,More than 45 minutes
c7661ae0,27,hurð,door,,1,P,No,More than 45 minutes
c7661ae0,25,forystumaður,leader,,1,P,No,More than 45 minutes
c7661ae0,33,ferð,trip,,1,P,No,More than 45 minutes
c7661ae0,5,hljóð,sound,,1,P,No,More than 45 minutes
c7661ae0,19,ganga,walk,,1,P,No,More than 45 minutes
c7661ae0,26,borg,city,,1,P,No,More than 45 minutes
c7661ae0,3,gleði,joy,,1,P,No,More than 45 minutes
c7661ae0,4,draumur,dream,,1,P,No,More than 45 minutes
c7661ae0,9,haf,sea,,1,P,No,More than 45 minutes
c7661ae0,38,verkefni,project,,1,P,No,More than 45 minutes
c7661ae0,23,vita,know,,1,P,No,More than 45 minutes
c7661ae0,1,fjall,mountain,,1,P,No,More than 45 minutes
