id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
c7fdcf89,14,vinna,work,work,0,P,No,0-15 minutes
c7fdcf89,3,gleði,joy,joy,0,P,No,0-15 minutes
c7fdcf89,36,hreyfa,move,none,0,P,No,0-15 minutes
c7fdcf89,23,vita,know,none,0,P,No,0-15 minutes
c7fdcf89,21,heyra,hear,river,0,P,No,0-15 minutes
c7fdcf89,1,fjall,mountain,mountain,0,P,No,0-15 minutes
c7fdcf89,18,hlaupa,run,none,0,P,No,0-15 minutes
c7fdcf89,9,haf,sea,have,0,P,No,0-15 minutes
c7fdcf89,26,borg,city,town,0,P,No,0-15 minutes
c7fdcf89,38,verkefni,project,none,0,P,No,0-15 minutes
c7fdcf89,29,mynd,picture,none,0,P,No,0-15 minutes
c7fdcf89,37,fjöldi,number,number,0,P,No,0-15 minutes
c7fdcf89,13,synda,swim,swimming,0,P,No,0-15 minutes
c7fdcf89,11,friður,peace,peace,0,P,No,0-15 minutes
c7fdcf89,33,ferð,trip,none,0,P,No,0-15 minutes
c7fdcf89,8,tungl,moon,none,0,P,No,0-15 minutes
c7fdcf89,25,forystumaður,leader,leader,0,P,No,0-15 minutes
c7fdcf89,20,sjá,see,see,0,P,No,0-15 minutes
c7fdcf89,22,hugsa,think,think,0,P,No,0-15 minutes
c7fdcf89,19,ganga,walk,walk,0,P,No,0-15 minutes
c7fdcf89,39,árangur,success,,1,N,No,0-15 minutes
c7fdcf89,5,hljóð,sound,sound,1,N,No,0-15 minutes
c7fdcf89,31,heppinn,lucky,lucky,1,N,No,0-15 minutes
c7fdcf89,35,sársauki,pain,pain,1,N,No,0-15 minutes
c7fdcf89,2,eldur,fire,none,1,N,No,0-15 minutes
c7fdcf89,12,reiði,anger,anger,1,N,No,0-15 minutes
c7fdcf89,28,gluggi,window,window,1,N,No,0-15 minutes
c7fdcf89,7,haust,autumn,autumn,1,N,No,0-15 minutes
c7fdcf89,17,borða,eat,eat,1,N,No,0-15 minutes
c7fdcf89,32,safn,museum,museum,1,N,No,0-15 minutes
c7fdcf89,30,þögn,silence,silence,1,N,No,0-15 minutes
c7fdcf89,6,vor,spring,spring,1,N,No,0-15 minutes
c7fdcf89,34,rödd,voice,speak,1,N,No,0-15 minutes
c7fdcf89,40,skap,mood,none,1,N,No,0-15 minutes
c7fdcf89,27,hurð,door,none,1,N,No,0-15 minutes
c7fdcf89,4,draumur,dream,none,1,N,No,0-15 minutes
c7fdcf89,24,framkvæmt,implementation,incdic,1,N,No,0-15 minutes
c7fdcf89,16,gráta,cry,none,1,N,No,0-15 minutes
c7fdcf89,10,ást,love,fast,1,N,No,0-15 minutes
c7fdcf89,15,hlæja,laugh,none,1,N,No,0-15 minutes
