id,word_id,ice,eng,answ_1,answ_2
c8ec3e32,1,Gluggi,Window,,
c8ec3e32,2,Stóll,Chair,,
c8ec3e32,3,Borð,Table,,
c8ec3e32,4,Fatnaður,Clothing,,
c8ec3e32,5,Skór,Shoes,,
c8ec3e32,6,Sokkar,Socks,,
c8ec3e32,7,Jakki,Jacket,,
c8ec3e32,8,Hattur,Hat,,
c8ec3e32,9,Mynd,Picture,,
c8ec3e32,10,Ljós,Light,,
c8ec3e32,11,Hár,Hair,,
c8ec3e32,12,Auga,Eye,,
c8ec3e32,13,Tennur,Teeth,,
c8ec3e32,14,Hjörtu,Hearts,,
c8ec3e32,15,Hönd,Hand,,
c8ec3e32,16,Fótur,Foot,,
c8ec3e32,17,Borg,City,,
c8ec3e32,18,Kirkja,Church,,
c8ec3e32,19,Bréf,Letter,,
c8ec3e32,20,Lykill,Key,,
