id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
d2f7f91e,24,framkvæmt,implementation,implementation,0,N,No,0-15 minutes
d2f7f91e,14,vinna,work,work,0,N,No,0-15 minutes
d2f7f91e,16,gráta,cry,cry,0,N,No,0-15 minutes
d2f7f91e,7,haust,autumn,autum,0,N,No,0-15 minutes
d2f7f91e,32,safn,museum,none,0,N,No,0-15 minutes
d2f7f91e,13,synda,swim,none,0,N,No,0-15 minutes
d2f7f91e,5,hljóð,sound,none,0,N,No,0-15 minutes
d2f7f91e,25,forystumaður,leader,none,0,N,No,0-15 minutes
d2f7f91e,2,eldur,fire,none,0,N,No,0-15 minutes
d2f7f91e,15,hlæja,laugh,laugh,0,N,No,0-15 minutes
d2f7f91e,6,vor,spring,spring,0,N,No,0-15 minutes
d2f7f91e,38,verkefni,project,none,0,N,No,0-15 minutes
d2f7f91e,39,árangur,success,none,0,N,No,0-15 minutes
d2f7f91e,12,reiði,anger,none,0,N,No,0-15 minutes
d2f7f91e,26,borg,city,city,0,N,No,0-15 minutes
d2f7f91e,29,mynd,picture,none,0,N,No,0-15 minutes
d2f7f91e,18,hlaupa,run,strong,0,N,No,0-15 minutes
d2f7f91e,30,þögn,silence,none,0,N,No,0-15 minutes
d2f7f91e,8,tungl,moon,none,0,N,No,0-15 minutes
d2f7f91e,11,friður,peace,none,0,N,No,0-15 minutes
d2f7f91e,31,heppinn,lucky,lucky,1,P,No,0-15 minutes
d2f7f91e,34,rödd,voice,voice,1,P,No,0-15 minutes
d2f7f91e,10,ást,love,none,1,P,No,0-15 minutes
d2f7f91e,28,gluggi,window,none,1,P,No,0-15 minutes
d2f7f91e,20,sjá,see,see,1,P,No,0-15 minutes
d2f7f91e,36,hreyfa,move,move,1,P,No,0-15 minutes
d2f7f91e,22,hugsa,think,none,1,P,No,0-15 minutes
d2f7f91e,37,fjöldi,number,door,1,P,No,0-15 minutes
d2f7f91e,3,gleði,joy,joy,1,P,No,0-15 minutes
d2f7f91e,27,hurð,door,none,1,P,No,0-15 minutes
d2f7f91e,40,skap,mood,love,1,P,No,0-15 minutes
d2f7f91e,23,vita,know,none,1,P,No,0-15 minutes
d2f7f91e,33,ferð,trip,trip,1,P,No,0-15 minutes
d2f7f91e,1,fjall,mountain,mountain,1,P,No,0-15 minutes
d2f7f91e,4,draumur,dream,dream,1,P,No,0-15 minutes
d2f7f91e,35,sársauki,pain,none,1,P,No,0-15 minutes
d2f7f91e,9,haf,sea,none,1,P,No,0-15 minutes
d2f7f91e,17,borða,eat,food,1,P,No,0-15 minutes
d2f7f91e,19,ganga,walk,walk,1,P,No,0-15 minutes
d2f7f91e,21,heyra,hear,think,1,P,No,0-15 minutes
