id,word_id,ice,eng,answ_1,answ_2
d5eb8c8b,1,Gluggi,Window,,
d5eb8c8b,2,Stóll,Chair,,
d5eb8c8b,3,Borð,Table,,
d5eb8c8b,4,Fatnaður,Clothing,,
d5eb8c8b,5,Skór,Shoes,,
d5eb8c8b,6,Sokkar,Socks,,
d5eb8c8b,7,Jakki,Jacket,,
d5eb8c8b,8,Hattur,Hat,,
d5eb8c8b,9,Mynd,Picture,,
d5eb8c8b,10,Ljós,Light,,
d5eb8c8b,11,Hár,Hair,,
d5eb8c8b,12,Auga,Eye,,
d5eb8c8b,13,Tennur,Teeth,,
d5eb8c8b,14,Hjörtu,Hearts,,
d5eb8c8b,15,Hönd,Hand,,
d5eb8c8b,16,Fótur,Foot,,
d5eb8c8b,17,Borg,City,,
d5eb8c8b,18,Kirkja,Church,,
d5eb8c8b,19,Bréf,Letter,,
d5eb8c8b,20,Lykill,Key,,
