id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
d6d3b091,1,fjall,mountain,mountain,0,N,No,0-15 minutes
d6d3b091,8,tungl,moon,moon,0,N,No,0-15 minutes
d6d3b091,19,ganga,walk,walk,0,N,No,0-15 minutes
d6d3b091,37,fjöldi,number,none,0,N,No,0-15 minutes
d6d3b091,39,árangur,success,none,0,N,No,0-15 minutes
d6d3b091,33,ferð,trip,none,0,N,No,0-15 minutes
d6d3b091,22,hugsa,think,none,0,N,No,0-15 minutes
d6d3b091,17,borða,eat,none,0,N,No,0-15 minutes
d6d3b091,26,borg,city,city,0,N,No,0-15 minutes
d6d3b091,6,vor,spring,spring,0,N,No,0-15 minutes
d6d3b091,35,sársauki,pain,pain,0,N,No,0-15 minutes
d6d3b091,30,þögn,silence,none,0,N,No,0-15 minutes
d6d3b091,23,vita,know,know,0,N,No,0-15 minutes
d6d3b091,25,forystumaður,leader,leader,0,N,No,0-15 minutes
d6d3b091,15,hlæja,laugh,none,0,N,No,0-15 minutes
d6d3b091,14,vinna,work,win,0,N,No,0-15 minutes
d6d3b091,21,heyra,hear,hear,0,N,No,0-15 minutes
d6d3b091,28,gluggi,window,window,0,N,No,0-15 minutes
d6d3b091,4,draumur,dream,dream,0,N,No,0-15 minutes
d6d3b091,13,synda,swim,work,0,N,No,0-15 minutes
d6d3b091,5,hljóð,sound,laugh,1,P,No,0-15 minutes
d6d3b091,2,eldur,fire,fire,1,P,No,0-15 minutes
d6d3b091,9,haf,sea,sea,1,P,No,0-15 minutes
d6d3b091,32,safn,museum,autum,1,P,No,0-15 minutes
d6d3b091,27,hurð,door,hear,1,P,No,0-15 minutes
d6d3b091,31,heppinn,lucky,none,1,P,No,0-15 minutes
d6d3b091,16,gráta,cry,cry,1,P,No,0-15 minutes
d6d3b091,38,verkefni,project,project,1,P,No,0-15 minutes
d6d3b091,29,mynd,picture,none,1,P,No,0-15 minutes
d6d3b091,20,sjá,see,see,1,P,No,0-15 minutes
d6d3b091,12,reiði,anger,none,1,P,No,0-15 minutes
d6d3b091,40,skap,mood,mood,1,P,No,0-15 minutes
d6d3b091,3,gleði,joy,happy,1,P,No,0-15 minutes
d6d3b091,7,haust,autumn,none,1,P,No,0-15 minutes
d6d3b091,11,friður,peace,freedom,1,P,No,0-15 minutes
d6d3b091,24,framkvæmt,implementation,none,1,P,No,0-15 minutes
d6d3b091,36,hreyfa,move,none,1,P,No,0-15 minutes
d6d3b091,34,rödd,voice,none,1,P,No,0-15 minutes
d6d3b091,10,ást,love,none,1,P,No,0-15 minutes
d6d3b091,18,hlaupa,run,laugh,1,P,No,0-15 minutes
