id,word_id,ice,eng,answ_1,answ_2
d9c04040,1,fjall,mountain,,
d9c04040,2,eldur,fire,,
d9c04040,3,gleði,joy,,
d9c04040,4,draumur,dream,,
d9c04040,5,hljóð,sound,,
d9c04040,6,vor,spring,,
d9c04040,7,haust,autumn,,
d9c04040,8,tungl,moon,,
d9c04040,9,haf,sea,,
d9c04040,10,ást,love,,
d9c04040,11,friður,peace,,
d9c04040,12,hamingja,happiness,,
d9c04040,13,von,hope,,
d9c04040,14,reiði,anger,,
d9c04040,15,synda,swim,,
d9c04040,16,vinna,work,,
d9c04040,17,sofa,sleep,,
d9c04040,18,hlæja,laugh,,
d9c04040,19,gráta,cry,,
d9c04040,20,borða,eat,,
d9c04040,21,hlaupa,run,,
d9c04040,22,ganga,walk,,
d9c04040,23,sjá,see,,
d9c04040,24,heyra,hear,,
d9c04040,25,hugsa,think,,
d9c04040,26,vita,know,,
d9c04040,27,framkvæmt,implementation,,
d9c04040,28,neysla,consumption,,
d9c04040,29,forystumaður,leader,,
d9c04040,30,skynjun,perception,,
d9c04040,31,viðhorf,attitude,,
d9c04040,32,borg,city,,
d9c04040,33,hurð,door,,
d9c04040,34,gluggi,window,,
d9c04040,35,bók,book,,
d9c04040,36,mynd,picture,,
d9c04040,37,þögn,silence,,
d9c04040,38,heppinn,lucky,,
d9c04040,39,sjóður,fund,,
d9c04040,40,safn,museum ,,
d9c04040,41,ferð,trip ,,
d9c04040,42,rödd,voice,,
d9c04040,43,sársauki,pain,,
d9c04040,44,hreyfa,move,,
d9c04040,45,fjöldi,number ,,
d9c04040,46,samningur,agreement,,
d9c04040,47,verkefni,project ,,
d9c04040,48,árangur,success,,
d9c04040,49,vonbrigði,disappointment,,
d9c04040,50,skap,mood ,,
