id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
dbdf6e61,5,hljóð,sound,none,0,N,No,More than 45 minutes
dbdf6e61,11,friður,peace,none,0,N,No,More than 45 minutes
dbdf6e61,26,borg,city,none,0,N,No,More than 45 minutes
dbdf6e61,32,safn,museum,none,0,N,No,More than 45 minutes
dbdf6e61,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
dbdf6e61,29,mynd,picture,none,0,N,No,More than 45 minutes
dbdf6e61,12,reiði,anger,none,0,N,No,More than 45 minutes
dbdf6e61,10,ást,love,none,0,N,No,More than 45 minutes
dbdf6e61,7,haust,autumn,none,0,N,No,More than 45 minutes
dbdf6e61,22,hugsa,think,none,0,N,No,More than 45 minutes
dbdf6e61,9,haf,sea,none,0,N,No,More than 45 minutes
dbdf6e61,4,draumur,dream,none,0,N,No,More than 45 minutes
dbdf6e61,27,hurð,door,none,0,N,No,More than 45 minutes
dbdf6e61,23,vita,know,none,0,N,No,More than 45 minutes
dbdf6e61,37,fjöldi,number,none,0,N,No,More than 45 minutes
dbdf6e61,8,tungl,moon,none,0,N,No,More than 45 minutes
dbdf6e61,28,gluggi,window,none,0,N,No,More than 45 minutes
dbdf6e61,38,verkefni,project,none,0,N,No,More than 45 minutes
dbdf6e61,35,sársauki,pain,none,0,N,No,More than 45 minutes
dbdf6e61,1,fjall,mountain,none,0,N,No,More than 45 minutes
dbdf6e61,33,ferð,trip,none,1,P,No,More than 45 minutes
dbdf6e61,19,ganga,walk,none,1,P,No,More than 45 minutes
dbdf6e61,16,gráta,cry,none,1,P,No,More than 45 minutes
dbdf6e61,39,árangur,success,none,1,P,No,More than 45 minutes
dbdf6e61,18,hlaupa,run,none,1,P,No,More than 45 minutes
dbdf6e61,40,skap,mood,none,1,P,No,More than 45 minutes
dbdf6e61,25,forystumaður,leader,none,1,P,No,More than 45 minutes
dbdf6e61,20,sjá,see,none,1,P,No,More than 45 minutes
dbdf6e61,21,heyra,hear,none,1,P,No,More than 45 minutes
dbdf6e61,34,rödd,voice,none,1,P,No,More than 45 minutes
dbdf6e61,15,hlæja,laugh,none,1,P,No,More than 45 minutes
dbdf6e61,31,heppinn,lucky,none,1,P,No,More than 45 minutes
dbdf6e61,17,borða,eat,none,1,P,No,More than 45 minutes
dbdf6e61,36,hreyfa,move,none,1,P,No,More than 45 minutes
dbdf6e61,6,vor,spring,none,1,P,No,More than 45 minutes
dbdf6e61,3,gleði,joy,none,1,P,No,More than 45 minutes
dbdf6e61,2,eldur,fire,none,1,P,No,More than 45 minutes
dbdf6e61,13,synda,swim,none,1,P,No,More than 45 minutes
dbdf6e61,14,vinna,work,none,1,P,No,More than 45 minutes
dbdf6e61,30,þögn,silence,none,1,P,No,More than 45 minutes
