id,word_id,ice,eng,answ_1,answ_2
dd8c0d16,1,Gluggi,Window,,
dd8c0d16,2,Stóll,Chair,,
dd8c0d16,3,Borð,Table,,
dd8c0d16,4,Fatnaður,Clothing,,
dd8c0d16,5,Skór,Shoes,,
dd8c0d16,6,Sokkar,Socks,,
dd8c0d16,7,Jakki,Jacket,,
dd8c0d16,8,Hattur,Hat,,
dd8c0d16,9,Mynd,Picture,,
dd8c0d16,10,Ljós,Light,,
dd8c0d16,11,Hár,Hair,,
dd8c0d16,12,Auga,Eye,,
dd8c0d16,13,Tennur,Teeth,,
dd8c0d16,14,Hjörtu,Hearts,,
dd8c0d16,15,Hönd,Hand,,
dd8c0d16,16,Fótur,Foot,,
dd8c0d16,17,Borg,City,,
dd8c0d16,18,Kirkja,Church,,
dd8c0d16,19,Bréf,Letter,,
dd8c0d16,20,Lykill,Key,,
