id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
ddd75cbe,29,mynd,picture,picture,0,N,No,0-15 minutes
ddd75cbe,21,heyra,hear,mood,0,N,No,0-15 minutes
ddd75cbe,40,skap,mood,none,0,N,No,0-15 minutes
ddd75cbe,37,fjöldi,number,number,0,N,No,0-15 minutes
ddd75cbe,33,ferð,trip,none,0,N,No,0-15 minutes
ddd75cbe,20,sjá,see,none,0,N,No,0-15 minutes
ddd75cbe,38,verkefni,project,none,0,N,No,0-15 minutes
ddd75cbe,9,haf,sea,island,0,N,No,0-15 minutes
ddd75cbe,4,draumur,dream,dream,0,N,No,0-15 minutes
ddd75cbe,17,borða,eat,none,0,N,No,0-15 minutes
ddd75cbe,10,ást,love,love,0,N,No,0-15 minutes
ddd75cbe,7,haust,autumn,autumn,0,N,No,0-15 minutes
ddd75cbe,23,vita,know,knowing,0,N,No,0-15 minutes
ddd75cbe,6,vor,spring,spring,0,N,No,0-15 minutes
ddd75cbe,26,borg,city,city,0,N,No,0-15 minutes
ddd75cbe,19,ganga,walk,walk,0,N,No,0-15 minutes
ddd75cbe,35,sársauki,pain,none,0,N,No,0-15 minutes
ddd75cbe,30,þögn,silence,none,0,N,No,0-15 minutes
ddd75cbe,25,forystumaður,leader,none,0,N,No,0-15 minutes
ddd75cbe,2,eldur,fire,none,0,N,No,0-15 minutes
ddd75cbe,18,hlaupa,run,none,1,P,No,0-15 minutes
ddd75cbe,22,hugsa,think,door,1,P,No,0-15 minutes
ddd75cbe,34,rödd,voice,,1,P,No,0-15 minutes
ddd75cbe,36,hreyfa,move,none,1,P,No,0-15 minutes
ddd75cbe,13,synda,swim,none,1,P,No,0-15 minutes
ddd75cbe,14,vinna,work,work,1,P,No,0-15 minutes
ddd75cbe,11,friður,peace,peace,1,P,No,0-15 minutes
ddd75cbe,27,hurð,door,none,1,P,No,0-15 minutes
ddd75cbe,8,tungl,moon,none,1,P,No,0-15 minutes
ddd75cbe,12,reiði,anger,none,1,P,No,0-15 minutes
ddd75cbe,1,fjall,mountain,mountain,1,P,No,0-15 minutes
ddd75cbe,28,gluggi,window,window,1,P,No,0-15 minutes
ddd75cbe,15,hlæja,laugh,none,1,P,No,0-15 minutes
ddd75cbe,39,árangur,success,arrange,1,P,No,0-15 minutes
ddd75cbe,5,hljóð,sound,none,1,P,No,0-15 minutes
ddd75cbe,32,safn,museum,none,1,P,No,0-15 minutes
ddd75cbe,24,framkvæmt,implementation,none,1,P,No,0-15 minutes
ddd75cbe,31,heppinn,lucky,lucky,1,P,No,0-15 minutes
ddd75cbe,3,gleði,joy,none,1,P,No,0-15 minutes
ddd75cbe,16,gráta,cry,none,1,P,No,0-15 minutes
