id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
dfc79e19,10,ást,love,love,0,P,No,0-15 minutes
dfc79e19,27,hurð,door,door,0,P,No,0-15 minutes
dfc79e19,15,hlæja,laugh,laugh,0,P,No,0-15 minutes
dfc79e19,3,gleði,joy,joy,0,P,No,0-15 minutes
dfc79e19,31,heppinn,lucky,lucky,0,P,No,0-15 minutes
dfc79e19,32,safn,museum,museum,0,P,No,0-15 minutes
dfc79e19,34,rödd,voice,,0,P,No,0-15 minutes
dfc79e19,22,hugsa,think,happy,0,P,No,0-15 minutes
dfc79e19,5,hljóð,sound,none,0,P,No,0-15 minutes
dfc79e19,16,gráta,cry,cry,0,P,No,0-15 minutes
dfc79e19,1,fjall,mountain,mountain,0,P,No,0-15 minutes
dfc79e19,28,gluggi,window,window,0,P,No,0-15 minutes
dfc79e19,35,sársauki,pain,pain,0,P,No,0-15 minutes
dfc79e19,36,hreyfa,move,none,0,P,No,0-15 minutes
dfc79e19,19,ganga,walk,walk,0,P,No,0-15 minutes
dfc79e19,4,draumur,dream,dream,0,P,No,0-15 minutes
dfc79e19,37,fjöldi,number,number,0,P,No,0-15 minutes
dfc79e19,21,heyra,hear,hear,0,P,No,0-15 minutes
dfc79e19,2,eldur,fire,fire,0,P,No,0-15 minutes
dfc79e19,12,reiði,anger,anger,0,P,No,0-15 minutes
dfc79e19,30,þögn,silence,silence,1,N,No,0-15 minutes
dfc79e19,6,vor,spring,none,1,N,No,0-15 minutes
dfc79e19,40,skap,mood,,1,N,No,0-15 minutes
dfc79e19,39,árangur,success,success,1,N,No,0-15 minutes
dfc79e19,9,haf,sea,ocean,1,N,No,0-15 minutes
dfc79e19,23,vita,know,know,1,N,No,0-15 minutes
dfc79e19,29,mynd,picture,picture,1,N,No,0-15 minutes
dfc79e19,7,haust,autumn,name,1,N,No,0-15 minutes
dfc79e19,11,friður,peace,peace,1,N,No,0-15 minutes
dfc79e19,8,tungl,moon,moon,1,N,No,0-15 minutes
dfc79e19,25,forystumaður,leader,leader,1,N,No,0-15 minutes
dfc79e19,33,ferð,trip,trip,1,N,No,0-15 minutes
dfc79e19,20,sjá,see,sea,1,N,No,0-15 minutes
dfc79e19,14,vinna,work,work,1,N,No,0-15 minutes
dfc79e19,26,borg,city,city,1,N,No,0-15 minutes
dfc79e19,38,verkefni,project,project,1,N,No,0-15 minutes
dfc79e19,18,hlaupa,run,run,1,N,No,0-15 minutes
dfc79e19,17,borða,eat,eat,1,N,No,0-15 minutes
dfc79e19,24,framkvæmt,implementation,implementation,1,N,No,0-15 minutes
dfc79e19,13,synda,swim,swim,1,N,No,0-15 minutes
