id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
e1e0b50d,27,hurð,door,none,0,N,No,More than 45 minutes
e1e0b50d,30,þögn,silence,none,0,N,No,More than 45 minutes
e1e0b50d,12,reiði,anger,none,0,N,No,More than 45 minutes
e1e0b50d,21,heyra,hear,none,0,N,No,More than 45 minutes
e1e0b50d,28,gluggi,window,none,0,N,No,More than 45 minutes
e1e0b50d,20,sjá,see,none,0,N,No,More than 45 minutes
e1e0b50d,1,fjall,mountain,none,0,N,No,More than 45 minutes
e1e0b50d,35,sársauki,pain,none,0,N,No,More than 45 minutes
e1e0b50d,5,hljóð,sound,none,0,N,No,More than 45 minutes
e1e0b50d,3,gleði,joy,none,0,N,No,More than 45 minutes
e1e0b50d,8,tungl,moon,none,0,N,No,More than 45 minutes
e1e0b50d,26,borg,city,none,0,N,No,More than 45 minutes
e1e0b50d,33,ferð,trip,none,0,N,No,More than 45 minutes
e1e0b50d,19,ganga,walk,none,0,N,No,More than 45 minutes
e1e0b50d,32,safn,museum,none,0,N,No,More than 45 minutes
e1e0b50d,40,skap,mood,none,0,N,No,More than 45 minutes
e1e0b50d,36,hreyfa,move,none,0,N,No,More than 45 minutes
e1e0b50d,16,gráta,cry,none,0,N,No,More than 45 minutes
e1e0b50d,11,friður,peace,none,0,N,No,More than 45 minutes
e1e0b50d,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
e1e0b50d,22,hugsa,think,,1,P,No,More than 45 minutes
e1e0b50d,13,synda,swim,,1,P,No,More than 45 minutes
e1e0b50d,10,ást,love,,1,P,No,More than 45 minutes
e1e0b50d,38,verkefni,project,,1,P,No,More than 45 minutes
e1e0b50d,29,mynd,picture,,1,P,No,More than 45 minutes
e1e0b50d,6,vor,spring,,1,P,No,More than 45 minutes
e1e0b50d,2,eldur,fire,,1,P,No,More than 45 minutes
e1e0b50d,39,árangur,success,,1,P,No,More than 45 minutes
e1e0b50d,15,hlæja,laugh,,1,P,No,More than 45 minutes
e1e0b50d,17,borða,eat,,1,P,No,More than 45 minutes
e1e0b50d,14,vinna,work,,1,P,No,More than 45 minutes
e1e0b50d,7,haust,autumn,,1,P,No,More than 45 minutes
e1e0b50d,34,rödd,voice,,1,P,No,More than 45 minutes
e1e0b50d,4,draumur,dream,,1,P,No,More than 45 minutes
e1e0b50d,31,heppinn,lucky,,1,P,No,More than 45 minutes
e1e0b50d,9,haf,sea,,1,P,No,More than 45 minutes
e1e0b50d,18,hlaupa,run,,1,P,No,More than 45 minutes
e1e0b50d,23,vita,know,,1,P,No,More than 45 minutes
e1e0b50d,25,forystumaður,leader,,1,P,No,More than 45 minutes
e1e0b50d,37,fjöldi,number,,1,P,No,More than 45 minutes
