id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
e628612d,3,gleði,joy,none,0,N,No,0-15 minutes
e628612d,8,tungl,moon,moon,0,N,No,0-15 minutes
e628612d,32,safn,museum,none,0,N,No,0-15 minutes
e628612d,19,ganga,walk,walk,0,N,No,0-15 minutes
e628612d,1,fjall,mountain,mountain,0,N,No,0-15 minutes
e628612d,20,sjá,see,none,0,N,No,0-15 minutes
e628612d,4,draumur,dream,dream,0,N,No,0-15 minutes
e628612d,10,ást,love,none,0,N,No,0-15 minutes
e628612d,40,skap,mood,angry,0,N,No,0-15 minutes
e628612d,6,vor,spring,door,0,N,No,0-15 minutes
e628612d,27,hurð,door,none,0,N,No,0-15 minutes
e628612d,33,ferð,trip,none,0,N,No,0-15 minutes
e628612d,5,hljóð,sound,none,0,N,No,0-15 minutes
e628612d,24,framkvæmt,implementation,implementation,0,N,No,0-15 minutes
e628612d,28,gluggi,window,window,0,N,No,0-15 minutes
e628612d,37,fjöldi,number,none,0,N,No,0-15 minutes
e628612d,30,þögn,silence,silence,0,N,No,0-15 minutes
e628612d,21,heyra,hear,hear,0,N,No,0-15 minutes
e628612d,12,reiði,anger,mood,0,N,No,0-15 minutes
e628612d,38,verkefni,project,none,0,N,No,0-15 minutes
e628612d,31,heppinn,lucky,lucky,1,P,No,0-15 minutes
e628612d,29,mynd,picture,picture,1,P,No,0-15 minutes
e628612d,11,friður,peace,,1,P,No,0-15 minutes
e628612d,22,hugsa,think,think,1,P,No,0-15 minutes
e628612d,26,borg,city,city,1,P,No,0-15 minutes
e628612d,2,eldur,fire,fire,1,P,No,0-15 minutes
e628612d,35,sársauki,pain,none,1,P,No,0-15 minutes
e628612d,25,forystumaður,leader,leader,1,P,No,0-15 minutes
e628612d,36,hreyfa,move,none,1,P,No,0-15 minutes
e628612d,18,hlaupa,run,run,1,P,No,0-15 minutes
e628612d,17,borða,eat,eat,1,P,No,0-15 minutes
e628612d,15,hlæja,laugh,move,1,P,No,0-15 minutes
e628612d,7,haust,autumn,autumn,1,P,No,0-15 minutes
e628612d,14,vinna,work,win,1,P,No,0-15 minutes
e628612d,16,gráta,cry,cry,1,P,No,0-15 minutes
e628612d,9,haf,sea,sea,1,P,No,0-15 minutes
e628612d,23,vita,know,know,1,P,No,0-15 minutes
e628612d,13,synda,swim,think,1,P,No,0-15 minutes
e628612d,39,árangur,success,project,1,P,No,0-15 minutes
e628612d,34,rödd,voice,cry,1,P,No,0-15 minutes
