id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
e7c8fd88,7,haust,autumn,,0,N,No,More than 45 minutes
e7c8fd88,15,hlæja,laugh,,0,N,No,More than 45 minutes
e7c8fd88,36,hreyfa,move,,0,N,No,More than 45 minutes
e7c8fd88,33,ferð,trip,,0,N,No,More than 45 minutes
e7c8fd88,12,reiði,anger,,0,N,No,More than 45 minutes
e7c8fd88,35,sársauki,pain,,0,N,No,More than 45 minutes
e7c8fd88,5,hljóð,sound,,0,N,No,More than 45 minutes
e7c8fd88,31,heppinn,lucky,,0,N,No,More than 45 minutes
e7c8fd88,28,gluggi,window,,0,N,No,More than 45 minutes
e7c8fd88,8,tungl,moon,,0,N,No,More than 45 minutes
e7c8fd88,19,ganga,walk,,0,N,No,More than 45 minutes
e7c8fd88,21,heyra,hear,,0,N,No,More than 45 minutes
e7c8fd88,11,friður,peace,,0,N,No,More than 45 minutes
e7c8fd88,9,haf,sea,,0,N,No,More than 45 minutes
e7c8fd88,6,vor,spring,,0,N,No,More than 45 minutes
e7c8fd88,10,ást,love,,0,N,No,More than 45 minutes
e7c8fd88,23,vita,know,,0,N,No,More than 45 minutes
e7c8fd88,24,framkvæmt,implementation,,0,N,No,More than 45 minutes
e7c8fd88,32,safn,museum,,0,N,No,More than 45 minutes
e7c8fd88,22,hugsa,think,,0,N,No,More than 45 minutes
e7c8fd88,20,sjá,see,,1,P,No,More than 45 minutes
e7c8fd88,2,eldur,fire,,1,P,No,More than 45 minutes
e7c8fd88,16,gráta,cry,,1,P,No,More than 45 minutes
e7c8fd88,38,verkefni,project,,1,P,No,More than 45 minutes
e7c8fd88,14,vinna,work,,1,P,No,More than 45 minutes
e7c8fd88,34,rödd,voice,,1,P,No,More than 45 minutes
e7c8fd88,29,mynd,picture,,1,P,No,More than 45 minutes
e7c8fd88,17,borða,eat,,1,P,No,More than 45 minutes
e7c8fd88,3,gleði,joy,,1,P,No,More than 45 minutes
e7c8fd88,4,draumur,dream,,1,P,No,More than 45 minutes
e7c8fd88,39,árangur,success,,1,P,No,More than 45 minutes
e7c8fd88,26,borg,city,,1,P,No,More than 45 minutes
e7c8fd88,40,skap,mood,,1,P,No,More than 45 minutes
e7c8fd88,37,fjöldi,number,,1,P,No,More than 45 minutes
e7c8fd88,30,þögn,silence,,1,P,No,More than 45 minutes
e7c8fd88,25,forystumaður,leader,,1,P,No,More than 45 minutes
e7c8fd88,27,hurð,door,,1,P,No,More than 45 minutes
e7c8fd88,1,fjall,mountain,,1,P,No,More than 45 minutes
e7c8fd88,18,hlaupa,run,,1,P,No,More than 45 minutes
e7c8fd88,13,synda,swim,,1,P,No,More than 45 minutes
