id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
ea3152e9,28,gluggi,window,window,0,P,No,0-15 minutes
ea3152e9,15,hlæja,laugh,automn,0,P,No,0-15 minutes
ea3152e9,32,safn,museum,none,0,P,No,0-15 minutes
ea3152e9,34,rödd,voice,road,0,P,No,0-15 minutes
ea3152e9,7,haust,autumn,automn,0,P,No,0-15 minutes
ea3152e9,20,sjá,see,see,0,P,No,0-15 minutes
ea3152e9,16,gráta,cry,none,0,P,No,0-15 minutes
ea3152e9,33,ferð,trip,travel,0,P,No,0-15 minutes
ea3152e9,19,ganga,walk,none,0,P,No,0-15 minutes
ea3152e9,2,eldur,fire,fire,0,P,No,0-15 minutes
ea3152e9,10,ást,love,love,0,P,No,0-15 minutes
ea3152e9,9,haf,sea,cry,0,P,No,0-15 minutes
ea3152e9,17,borða,eat,none,0,P,No,0-15 minutes
ea3152e9,23,vita,know,none,0,P,No,0-15 minutes
ea3152e9,13,synda,swim,swim,0,P,No,0-15 minutes
ea3152e9,21,heyra,hear,none,0,P,No,0-15 minutes
ea3152e9,14,vinna,work,none,0,P,No,0-15 minutes
ea3152e9,30,þögn,silence,none,0,P,No,0-15 minutes
ea3152e9,5,hljóð,sound,none,0,P,No,0-15 minutes
ea3152e9,8,tungl,moon,none,0,P,No,0-15 minutes
ea3152e9,1,fjall,mountain,mountain,1,N,No,0-15 minutes
ea3152e9,18,hlaupa,run,none,1,N,No,0-15 minutes
ea3152e9,37,fjöldi,number,none,1,N,No,0-15 minutes
ea3152e9,3,gleði,joy,joy,1,N,No,0-15 minutes
ea3152e9,29,mynd,picture,none,1,N,No,0-15 minutes
ea3152e9,12,reiði,anger,anger,1,N,No,0-15 minutes
ea3152e9,22,hugsa,think,none,1,N,No,0-15 minutes
ea3152e9,31,heppinn,lucky,none,1,N,No,0-15 minutes
ea3152e9,25,forystumaður,leader,leader,1,N,No,0-15 minutes
ea3152e9,39,árangur,success,none,1,N,No,0-15 minutes
ea3152e9,26,borg,city,none,1,N,No,0-15 minutes
ea3152e9,6,vor,spring,spring,1,N,No,0-15 minutes
ea3152e9,40,skap,mood,mood,1,N,No,0-15 minutes
ea3152e9,24,framkvæmt,implementation,none,1,N,No,0-15 minutes
ea3152e9,11,friður,peace,none,1,N,No,0-15 minutes
ea3152e9,35,sársauki,pain,hurting,1,N,No,0-15 minutes
ea3152e9,36,hreyfa,move,none,1,N,No,0-15 minutes
ea3152e9,38,verkefni,project,none,1,N,No,0-15 minutes
ea3152e9,4,draumur,dream,dream,1,N,No,0-15 minutes
ea3152e9,27,hurð,door,none,1,N,No,0-15 minutes
