id,word_id,ice,eng,answ_1,answ_2
f10f0111,1,Gluggi,Window,,
f10f0111,2,Stóll,Chair,,
f10f0111,3,Borð,Table,,
f10f0111,4,Fatnaður,Clothing,,
f10f0111,5,Skór,Shoes,,
f10f0111,6,Sokkar,Socks,,
f10f0111,7,Jakki,Jacket,,
f10f0111,8,Hattur,Hat,,
f10f0111,9,Mynd,Picture,,
f10f0111,10,Ljós,Light,,
f10f0111,11,Hár,Hair,,
f10f0111,12,Auga,Eye,,
f10f0111,13,Tennur,Teeth,,
f10f0111,14,Hjörtu,Hearts,,
f10f0111,15,Hönd,Hand,,
f10f0111,16,Fótur,Foot,,
f10f0111,17,Borg,City,,
f10f0111,18,Kirkja,Church,,
f10f0111,19,Bréf,Letter,,
f10f0111,20,Lykill,Key,,
