id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
f32f44c1,5,hljóð,sound,none,0,N,No,More than 45 minutes
f32f44c1,16,gráta,cry,none,0,N,No,More than 45 minutes
f32f44c1,27,hurð,door,none,0,N,No,More than 45 minutes
f32f44c1,40,skap,mood,none,0,N,No,More than 45 minutes
f32f44c1,6,vor,spring,none,0,N,No,More than 45 minutes
f32f44c1,21,heyra,hear,none,0,N,No,More than 45 minutes
f32f44c1,15,hlæja,laugh,none,0,N,No,More than 45 minutes
f32f44c1,8,tungl,moon,none,0,N,No,More than 45 minutes
f32f44c1,3,gleði,joy,none,0,N,No,More than 45 minutes
f32f44c1,22,hugsa,think,none,0,N,No,More than 45 minutes
f32f44c1,32,safn,museum,none,0,N,No,More than 45 minutes
f32f44c1,38,verkefni,project,none,0,N,No,More than 45 minutes
f32f44c1,23,vita,know,none,0,N,No,More than 45 minutes
f32f44c1,1,fjall,mountain,none,0,N,No,More than 45 minutes
f32f44c1,18,hlaupa,run,none,0,N,No,More than 45 minutes
f32f44c1,14,vinna,work,none,0,N,No,More than 45 minutes
f32f44c1,37,fjöldi,number,none,0,N,No,More than 45 minutes
f32f44c1,13,synda,swim,none,0,N,No,More than 45 minutes
f32f44c1,34,rödd,voice,none,0,N,No,More than 45 minutes
f32f44c1,31,heppinn,lucky,none,0,N,No,More than 45 minutes
f32f44c1,24,framkvæmt,implementation,,1,P,No,More than 45 minutes
f32f44c1,39,árangur,success,,1,P,No,More than 45 minutes
f32f44c1,30,þögn,silence,,1,P,No,More than 45 minutes
f32f44c1,11,friður,peace,,1,P,No,More than 45 minutes
f32f44c1,26,borg,city,,1,P,No,More than 45 minutes
f32f44c1,20,sjá,see,,1,P,No,More than 45 minutes
f32f44c1,35,sársauki,pain,,1,P,No,More than 45 minutes
f32f44c1,12,reiði,anger,,1,P,No,More than 45 minutes
f32f44c1,9,haf,sea,,1,P,No,More than 45 minutes
f32f44c1,10,ást,love,,1,P,No,More than 45 minutes
f32f44c1,2,eldur,fire,,1,P,No,More than 45 minutes
f32f44c1,19,ganga,walk,,1,P,No,More than 45 minutes
f32f44c1,28,gluggi,window,,1,P,No,More than 45 minutes
f32f44c1,36,hreyfa,move,,1,P,No,More than 45 minutes
f32f44c1,17,borða,eat,,1,P,No,More than 45 minutes
f32f44c1,25,forystumaður,leader,,1,P,No,More than 45 minutes
f32f44c1,33,ferð,trip,,1,P,No,More than 45 minutes
f32f44c1,4,draumur,dream,,1,P,No,More than 45 minutes
f32f44c1,29,mynd,picture,,1,P,No,More than 45 minutes
f32f44c1,7,haust,autumn,,1,P,No,More than 45 minutes
