id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
f366d29e,11,friður,peace,none,0,N,No,More than 45 minutes
f366d29e,30,þögn,silence,none,0,N,No,More than 45 minutes
f366d29e,18,hlaupa,run,none,0,N,No,More than 45 minutes
f366d29e,9,haf,sea,none,0,N,No,More than 45 minutes
f366d29e,27,hurð,door,none,0,N,No,More than 45 minutes
f366d29e,20,sjá,see,none,0,N,No,More than 45 minutes
f366d29e,1,fjall,mountain,none,0,N,No,More than 45 minutes
f366d29e,39,árangur,success,none,0,N,No,More than 45 minutes
f366d29e,15,hlæja,laugh,none,0,N,No,More than 45 minutes
f366d29e,4,draumur,dream,none,0,N,No,More than 45 minutes
f366d29e,13,synda,swim,none,0,N,No,More than 45 minutes
f366d29e,28,gluggi,window,none,0,N,No,More than 45 minutes
f366d29e,22,hugsa,think,none,0,N,No,More than 45 minutes
f366d29e,14,vinna,work,none,0,N,No,More than 45 minutes
f366d29e,2,eldur,fire,none,0,N,No,More than 45 minutes
f366d29e,24,framkvæmt,implementation,none,0,N,No,More than 45 minutes
f366d29e,31,heppinn,lucky,none,0,N,No,More than 45 minutes
f366d29e,16,gráta,cry,none,0,N,No,More than 45 minutes
f366d29e,33,ferð,trip,none,0,N,No,More than 45 minutes
f366d29e,5,hljóð,sound,none,0,N,No,More than 45 minutes
f366d29e,35,sársauki,pain,,1,P,No,More than 45 minutes
f366d29e,32,safn,museum,,1,P,No,More than 45 minutes
f366d29e,29,mynd,picture,,1,P,No,More than 45 minutes
f366d29e,26,borg,city,,1,P,No,More than 45 minutes
f366d29e,25,forystumaður,leader,,1,P,No,More than 45 minutes
f366d29e,21,heyra,hear,,1,P,No,More than 45 minutes
f366d29e,7,haust,autumn,,1,P,No,More than 45 minutes
f366d29e,17,borða,eat,,1,P,No,More than 45 minutes
f366d29e,12,reiði,anger,,1,P,No,More than 45 minutes
f366d29e,40,skap,mood,,1,P,No,More than 45 minutes
f366d29e,34,rödd,voice,,1,P,No,More than 45 minutes
f366d29e,38,verkefni,project,,1,P,No,More than 45 minutes
f366d29e,8,tungl,moon,,1,P,No,More than 45 minutes
f366d29e,37,fjöldi,number,,1,P,No,More than 45 minutes
f366d29e,10,ást,love,,1,P,No,More than 45 minutes
f366d29e,6,vor,spring,,1,P,No,More than 45 minutes
f366d29e,23,vita,know,,1,P,No,More than 45 minutes
f366d29e,19,ganga,walk,,1,P,No,More than 45 minutes
f366d29e,36,hreyfa,move,,1,P,No,More than 45 minutes
f366d29e,3,gleði,joy,,1,P,No,More than 45 minutes
