id,word_id,ice,eng,answ_1,answ_2
f71fdb97,1,Gluggi,Window,gluggi,gluggi
f71fdb97,2,Stóll,Chair,stoll,stoll
f71fdb97,3,Borð,Table,boro,boro
f71fdb97,4,Fatnaður,Clothing,fatna,fatna
f71fdb97,5,Skór,Shoes,skor,skor
f71fdb97,6,Sokkar,Socks,sokkar,sokkar
f71fdb97,7,Jakki,Jacket,jakki,jakki
f71fdb97,8,Hattur,Hat,hattur,hattur
f71fdb97,9,Mynd,Picture,mynd,mynd
f71fdb97,10,Ljós,Light,ljos,ljos
f71fdb97,11,Hár,Hair,har,har
f71fdb97,12,Auga,Eye,auga,auga
f71fdb97,13,Tennur,Teeth,tennur,tennur
f71fdb97,14,Hjörtu,Hearts,hjortu,hjortu
f71fdb97,15,Hönd,Hand,hond,hond
f71fdb97,16,Fótur,Foot,fotur,fotur
f71fdb97,17,Borg,City,borg,borg
f71fdb97,18,Kirkja,Church,kirkja,kirkja
f71fdb97,19,Bréf,Letter,bref,bref
f71fdb97,20,Lykill,Key,lykill,lykill
